event_index,spike_time_ns,event_energy_j,event_energy_pj
1,6.657094,2.891290277e-12,2.891290
2,25.146644,3.149148670e-12,3.149149
3,45.142940,3.270918123e-12,3.270918
4,65.142888,3.267511082e-12,3.267511
5,85.142887,3.267530765e-12,3.267531
6,105.142887,3.267530948e-12,3.267531
7,125.142887,3.267530951e-12,3.267531
8,145.142887,3.267530951e-12,3.267531
9,165.142887,3.267530951e-12,3.267531
10,185.142887,3.789469167e-12,3.789469

bootstrap_mean_energy_per_spike_j,bootstrap_mean_energy_per_spike_pj
3.030287017e-12,3.030287
3.105190492e-12,3.105190
3.105535170e-12,3.105535
3.105873869e-12,3.105874
3.117034662e-12,3.117035
3.117034681e-12,3.117035
3.117371411e-12,3.117371
3.117373361e-12,3.117373
3.117373361e-12,3.117373
3.117373398e-12,3.117373
3.117706155e-12,3.117706
3.119142078e-12,3.119142
3.119144064e-12,3.119144
3.119478789e-12,3.119479
3.119766170e-12,3.119766
3.130982293e-12,3.130982
3.130982293e-12,3.130982
3.131319004e-12,3.131319
3.131320991e-12,3.131321
3.131321009e-12,3.131321
3.131321010e-12,3.131321
3.131321010e-12,3.131321
3.131657740e-12,3.131658
3.142814559e-12,3.142815
3.142816547e-12,3.142817
3.142816547e-12,3.142817
3.142816547e-12,3.142817
3.142818515e-12,3.142819
3.143155264e-12,3.143155
3.143157250e-12,3.143157
3.143157251e-12,3.143157
3.143157251e-12,3.143157
3.143159200e-12,3.143159
3.143159219e-12,3.143159
3.143159238e-12,3.143159
3.143495968e-12,3.143496
3.143497918e-12,3.143498
3.143836635e-12,3.143837
3.145266634e-12,3.145267
3.145550041e-12,3.145550
3.145605351e-12,3.145605
3.145890764e-12,3.145891
3.154650764e-12,3.154651
3.154652788e-12,3.154653
3.154654756e-12,3.154655
3.154654756e-12,3.154655
3.154654774e-12,3.154655
3.154656743e-12,3.154657
3.154656761e-12,3.154657
3.154656761e-12,3.154657
3.154656762e-12,3.154657
3.154658730e-12,3.154659
3.154658730e-12,3.154659
3.154993436e-12,3.154993
3.154993455e-12,3.154993
3.154993473e-12,3.154993
3.154995423e-12,3.154995
3.154997429e-12,3.154997
3.154997447e-12,3.154997
3.155334122e-12,3.155334
3.156764139e-12,3.156764
3.157102875e-12,3.157103
3.157104844e-12,3.157105
3.157104862e-12,3.157105
3.157106812e-12,3.157107
3.157106812e-12,3.157107
3.157386301e-12,3.157386
3.157390256e-12,3.157390
3.157784284e-12,3.157784
3.168600399e-12,3.168600
3.168602386e-12,3.168602
3.168602386e-12,3.168602
3.168602386e-12,3.168602
3.168606341e-12,3.168606
3.168606341e-12,3.168606
3.168606341e-12,3.168606
3.168606360e-12,3.168606
3.168941085e-12,3.168941
3.168943053e-12,3.168943
3.168943072e-12,3.168943
3.168943090e-12,3.168943
3.168943090e-12,3.168943
3.168943090e-12,3.168943
3.168943090e-12,3.168943
3.168945003e-12,3.168945
3.168945058e-12,3.168945
3.168945077e-12,3.168945
3.169281789e-12,3.169282
3.169281789e-12,3.169282
3.169281789e-12,3.169282
3.169283757e-12,3.169284
3.169283776e-12,3.169284
3.169283776e-12,3.169284
3.169283794e-12,3.169284
3.169283794e-12,3.169284
3.169567201e-12,3.169567
3.169567220e-12,3.169567
3.169567220e-12,3.169567
3.169903950e-12,3.169904
3.169961229e-12,3.169961
3.171676584e-12,3.171677
3.180438608e-12,3.180439
3.180438609e-12,3.180439
3.180440558e-12,3.180441
3.180440577e-12,3.180441
3.180440595e-12,3.180441
3.180440595e-12,3.180441
3.180440595e-12,3.180441
3.180440614e-12,3.180441
3.180442545e-12,3.180443
3.180442563e-12,3.180443
3.180442582e-12,3.180443
3.180442582e-12,3.180443
3.180442582e-12,3.180443
3.180442601e-12,3.180443
3.180442601e-12,3.180443
3.180444551e-12,3.180445
3.180444569e-12,3.180445
3.180444569e-12,3.180445
3.180444588e-12,3.180445
3.180444588e-12,3.180445
3.180779294e-12,3.180779
3.180779312e-12,3.180779
3.180779313e-12,3.180779
3.180779313e-12,3.180779
3.180779313e-12,3.180779
3.180779313e-12,3.180779
3.180779313e-12,3.180779
3.180779331e-12,3.180779
3.180779331e-12,3.180779
3.180779331e-12,3.180779
3.180781281e-12,3.180781
3.180781300e-12,3.180781
3.180781300e-12,3.180781
3.180781300e-12,3.180781
3.180781318e-12,3.180781
3.180781318e-12,3.180781
3.180783249e-12,3.180783
3.180783268e-12,3.180783
3.180783268e-12,3.180783
3.180783286e-12,3.180783
3.180783286e-12,3.180783
3.180783287e-12,3.180783
3.180783287e-12,3.180783
3.180783287e-12,3.180783
3.180783304e-12,3.180783
3.180783304e-12,3.180783
3.180783305e-12,3.180783
3.181116043e-12,3.181116
3.181118011e-12,3.181118
3.181118030e-12,3.181118
3.181120035e-12,3.181120
3.181121948e-12,3.181122
3.181121985e-12,3.181122
3.181122022e-12,3.181122
3.181122022e-12,3.181122
3.181122022e-12,3.181122
3.181460721e-12,3.181461
3.181460739e-12,3.181461
3.181460739e-12,3.181461
3.181799438e-12,3.181799
3.181799457e-12,3.181799
3.182549979e-12,3.182550
3.182553952e-12,3.182554
3.182888715e-12,3.182889
3.182892651e-12,3.182893
3.183176077e-12,3.183176
3.183176095e-12,3.183176
3.183176095e-12,3.183176
3.183176096e-12,3.183176
3.183176114e-12,3.183176
3.183229400e-12,3.183229
3.183231406e-12,3.183231
3.183512826e-12,3.183513
3.183512844e-12,3.183513
3.185907640e-12,3.185908
3.192274849e-12,3.192275
3.192278823e-12,3.192279
3.192278823e-12,3.192279
3.192278824e-12,3.192279
3.192278824e-12,3.192279
3.192278842e-12,3.192279
3.192280773e-12,3.192281
3.192280829e-12,3.192281
3.192280829e-12,3.192281
3.192280829e-12,3.192281
3.192282760e-12,3.192283
3.192282779e-12,3.192283
3.192282779e-12,3.192283
3.192282797e-12,3.192283
3.192282797e-12,3.192283
3.192613586e-12,3.192614
3.192615553e-12,3.192616
3.192615572e-12,3.192616
3.192617540e-12,3.192618
3.192617541e-12,3.192618
3.192617559e-12,3.192618
3.192617560e-12,3.192618
3.192619472e-12,3.192619
3.192619490e-12,3.192619
3.192619508e-12,3.192620
3.192619509e-12,3.192620
3.192619509e-12,3.192620
3.192619509e-12,3.192620
3.192619527e-12,3.192620
3.192619528e-12,3.192620
3.192619528e-12,3.192620
3.192619528e-12,3.192620
3.192619546e-12,3.192620
3.192619546e-12,3.192620
3.192621477e-12,3.192621
3.192621496e-12,3.192621
3.192621514e-12,3.192622
3.192621514e-12,3.192622
