time_ns,mem,spike,out
0.000,0.000000,0.000000,1.800000
0.500,0.000000,0.000000,1.800000
1.000,0.000000,0.000000,1.800000
1.500,0.000000,0.000000,1.800000
2.000,0.000000,0.000000,1.800000
2.500,0.000000,0.000000,1.800000
3.000,0.000000,0.000000,1.800000
3.500,0.000000,0.000000,1.800000
4.000,0.000000,0.000000,1.800000
4.500,0.000000,0.000000,1.800000
5.000,0.000000,0.000000,1.800000
5.500,0.249933,0.000288,1.800001
6.000,0.499850,0.005233,1.799993
6.500,0.749701,0.087134,1.796377
7.000,0.977576,1.762730,0.000293
7.500,1.008167,1.773592,0.000123
8.000,0.970467,1.761937,0.000268
8.500,0.934359,1.742598,0.000692
9.000,0.899056,1.718879,0.001284
9.500,0.865952,1.672104,0.003466
10.000,0.834643,1.590158,0.009735
10.500,0.808069,1.280322,0.071274
11.000,0.802362,0.271988,1.763226
11.500,0.801279,0.257738,1.767219
12.000,0.800295,0.246638,1.770410
12.500,0.799405,0.237746,1.772565
13.000,0.798536,0.229333,1.774568
13.500,0.797767,0.223081,1.776079
14.000,0.796998,0.216829,1.777590
14.500,0.796271,0.211267,1.778857
15.000,0.795617,0.206906,1.779703
15.500,0.794964,0.202545,1.780548
16.000,0.794310,0.198184,1.781393
16.500,0.793657,0.193823,1.782239
17.000,0.793100,0.190755,1.782849
17.500,0.792549,0.187760,1.783446
18.000,0.791998,0.184765,1.784043
18.500,0.791446,0.181770,1.784640
19.000,0.790895,0.178775,1.785238
19.500,0.790401,0.176374,1.785637
20.000,0.789927,0.174170,1.785970
20.500,0.789452,0.171967,1.786303
21.000,0.788978,0.169764,1.786636
21.500,0.788503,0.167561,1.786970
22.000,0.788029,0.165358,1.787303
22.500,0.787604,0.163637,1.787599
23.000,0.787186,0.161985,1.787891
23.500,0.786768,0.160333,1.788182
24.000,0.786350,0.158682,1.788473
24.500,0.785933,0.157030,1.788764
25.000,0.785515,0.155378,1.789055
25.500,0.987994,1.765830,0.000296
26.000,1.197281,1.794382,0.000013
26.500,1.402455,1.799184,0.000005
27.000,1.605245,1.799978,0.000006
27.500,1.607140,1.799970,-0.000000
28.000,1.559251,1.799926,-0.000000
28.500,1.511767,1.799832,-0.000000
29.000,1.464738,1.799671,-0.000000
29.500,1.418001,1.799423,-0.000000
30.000,1.372973,1.798669,0.000000
30.500,1.327944,1.797914,0.000001
31.000,1.282915,1.797160,0.000001
31.500,1.237886,1.796405,0.000001
32.000,1.195982,1.792755,0.000024
32.500,1.155302,1.787971,0.000054
33.000,1.114621,1.783187,0.000085
33.500,1.073941,1.778403,0.000116
34.000,1.033260,1.773620,0.000146
34.500,0.992580,1.768836,0.000177
35.000,0.955176,1.755737,0.000365
35.500,0.920124,1.728763,0.001208
36.000,0.885839,1.696808,0.002296
36.500,0.852534,1.651430,0.004454
37.000,0.822776,1.529521,0.015849
37.500,0.803129,0.377424,1.718965
38.000,0.801910,0.265795,1.765100
38.500,0.800878,0.253216,1.768511
39.000,0.799927,0.242817,1.771369
39.500,0.799047,0.234263,1.773396
40.000,0.798229,0.226962,1.775121
40.500,0.797474,0.220943,1.776538
41.000,0.796719,0.214925,1.777955
41.500,0.795965,0.208907,1.779371
42.000,0.795321,0.204658,1.780206
42.500,0.794687,0.200553,1.780994
43.000,0.794052,0.196448,1.781782
43.500,0.793418,0.192343,1.782570
44.000,0.792850,0.189181,1.783207
44.500,0.792290,0.186124,1.783828
45.000,0.791730,0.183067,1.784448
45.500,0.993211,1.767334,0.000271
46.000,1.202361,1.794604,0.000017
46.500,1.407513,1.799318,0.000037
47.000,1.610235,1.800011,0.000022
47.500,1.612075,1.799972,-0.000000
48.000,1.564139,1.799933,-0.000000
48.500,1.516654,1.799840,-0.000000
49.000,1.469423,1.799714,-0.000000
49.500,1.423179,1.799340,-0.000000
50.000,1.377625,1.798793,-0.000000
50.500,1.332071,1.798247,0.000000
51.000,1.286517,1.797700,0.000000
51.500,1.243389,1.795347,0.000010
52.000,1.201823,1.791829,0.000026
52.500,1.160257,1.788312,0.000043
53.000,1.118691,1.784795,0.000059
53.500,1.077125,1.781277,0.000075
54.000,1.035559,1.777760,0.000092
54.500,0.996297,1.769785,0.000169
55.000,0.959302,1.754371,0.000468
55.500,0.923806,1.731860,0.001028
56.000,0.888309,1.709349,0.001587
56.500,0.855964,1.649133,0.005267
57.000,0.825747,1.548727,0.013524
57.500,0.803481,0.590967,1.535657
58.000,0.802030,0.267443,1.764539
58.500,0.800983,0.254390,1.768163
59.000,0.800027,0.243872,1.771101
59.500,0.799126,0.234816,1.773155
60.000,0.798317,0.227719,1.775014
60.500,0.797508,0.220622,1.776873
61.000,0.796788,0.215198,1.777983
61.500,0.796084,0.210065,1.778964
62.000,0.795380,0.204931,1.779944
62.500,0.794735,0.200665,1.780882
63.000,0.794114,0.196767,1.781802
63.500,0.793494,0.192870,1.782723
64.000,0.792924,0.189627,1.783234
64.500,0.792362,0.186500,1.783673
65.000,0.791800,0.183372,1.784112
65.500,0.993269,1.767354,0.000271
66.000,1.202417,1.794606,0.000017
66.500,1.407568,1.799316,0.000035
67.000,1.610290,1.800011,0.000021
67.500,1.612130,1.799972,-0.000000
68.000,1.564194,1.799933,-0.000000
68.500,1.516708,1.799840,-0.000000
69.000,1.469478,1.799714,-0.000000
69.500,1.423228,1.799341,-0.000000
70.000,1.377679,1.798793,-0.000000
70.500,1.332130,1.798245,0.000000
71.000,1.286581,1.797697,0.000000
71.500,1.243416,1.795368,0.000010
72.000,1.201859,1.791840,0.000026
72.500,1.160301,1.788312,0.000043
73.000,1.118744,1.784783,0.000059
73.500,1.077186,1.781255,0.000076
74.000,1.035629,1.777727,0.000092
74.500,0.996342,1.769794,0.000169
75.000,0.959334,1.754444,0.000466
75.500,0.923849,1.731857,0.001029
76.000,0.888364,1.709270,0.001592
76.500,0.855993,1.649388,0.005243
77.000,0.825793,1.548523,0.013566
77.500,0.803488,0.596122,1.527085
78.000,0.802030,0.267393,1.764543
78.500,0.800980,0.254230,1.768254
79.000,0.800032,0.244039,1.770978
79.500,0.799149,0.235305,1.773209
80.000,0.798335,0.228079,1.774914
80.500,0.797520,0.220854,1.776619
81.000,0.796775,0.214945,1.777956
81.500,0.796083,0.210045,1.779010
82.000,0.795390,0.205145,1.780064
82.500,0.794719,0.200528,1.781036
83.000,0.794107,0.196700,1.781779
83.500,0.793495,0.192871,1.782521
84.000,0.792916,0.189528,1.783163
84.500,0.792356,0.186468,1.783745
85.000,0.791796,0.183407,1.784327
85.500,0.993266,1.767353,0.000271
86.000,1.202415,1.794606,0.000017
86.500,1.407565,1.799316,0.000036
87.000,1.610287,1.800011,0.000021
87.500,1.612127,1.799972,-0.000000
88.000,1.564191,1.799933,-0.000000
88.500,1.516706,1.799840,-0.000000
89.000,1.469476,1.799714,-0.000000
89.500,1.423226,1.799341,-0.000000
90.000,1.377676,1.798793,-0.000000
90.500,1.332127,1.798245,0.000000
91.000,1.286577,1.797697,0.000000
91.500,1.243416,1.795366,0.000010
92.000,1.201858,1.791839,0.000026
92.500,1.160299,1.788312,0.000043
93.000,1.118741,1.784785,0.000059
93.500,1.077183,1.781258,0.000076
94.000,1.035624,1.777731,0.000092
94.500,0.996340,1.769794,0.000169
95.000,0.959333,1.754438,0.000466
95.500,0.923847,1.731859,0.001029
96.000,0.888360,1.709280,0.001592
96.500,0.855992,1.649367,0.005245
97.000,0.825790,1.548551,0.013561
97.500,0.803487,0.595384,1.528947
98.000,0.802031,0.267467,1.764520
98.500,0.800984,0.254401,1.768150
99.000,0.800028,0.243870,1.771112
99.500,0.799125,0.234788,1.773155
100.000,0.798318,0.227728,1.775005
100.500,0.797511,0.220668,1.776854
101.000,0.796788,0.215185,1.777995
101.500,0.796085,0.210077,1.778967
102.000,0.795383,0.204970,1.779938
102.500,0.794734,0.200656,1.780877
103.000,0.794115,0.196770,1.781797
103.500,0.793496,0.192883,1.782718
104.000,0.792924,0.189626,1.783238
104.500,0.792362,0.186502,1.783673
105.000,0.791800,0.183378,1.784108
105.500,0.993269,1.767355,0.000271
106.000,1.202418,1.794606,0.000017
106.500,1.407568,1.799316,0.000035
