time_ns,phase,mem_meas_v,mem_model_global_step_v,mem_model_piecewise_step_v,out_v,spike_v,dmem_dt_meas_v_per_s,dmem_dt_global_v_per_s,dmem_dt_piecewise_v_per_s
0.000,charge,0.000000000,0.000000000,0.000000000,1.800000000,0.000000000,0.000000e+00,6.546466e+07,5.290813e+07
0.500,charge,0.000000000,0.032732332,0.026454066,1.800000000,0.000000000,0.000000e+00,6.546466e+07,5.290813e+07
1.000,charge,0.000000000,0.032732332,0.026454066,1.800000000,0.000000000,0.000000e+00,6.546466e+07,5.290813e+07
1.500,charge,0.000000000,0.032732332,0.026454066,1.800000000,0.000000000,0.000000e+00,6.546466e+07,5.290813e+07
2.000,charge,0.000000000,0.032732332,0.026454066,1.800000000,0.000000000,0.000000e+00,6.546466e+07,5.290813e+07
2.500,charge,0.000000000,0.032732332,0.026454066,1.800000000,0.000000000,0.000000e+00,6.546466e+07,5.290813e+07
3.000,charge,0.000000000,0.032732332,0.026454066,1.800000000,0.000000000,0.000000e+00,6.546466e+07,5.290813e+07
3.500,charge,0.000000000,0.032732332,0.026454066,1.800000000,0.000000000,0.000000e+00,6.546466e+07,5.290813e+07
4.000,charge,0.000000000,0.032732332,0.026454066,1.800000000,0.000000000,0.000000e+00,6.546466e+07,5.290813e+07
4.500,charge,0.000000000,0.032732332,0.026454066,1.800000000,0.000000000,0.000000e+00,6.546466e+07,5.290813e+07
5.000,charge,0.000000000,0.032732332,0.026454066,1.800000000,0.000000000,4.998660e+08,6.546466e+07,5.290813e+07
5.500,charge,0.249933000,0.032732332,0.026454066,1.800001000,0.000288000,4.998340e+08,5.915729e+07,3.339870e+08
6.000,charge,0.499850000,0.279511643,0.416926511,1.799993000,0.005233000,4.997020e+08,5.246501e+07,5.835823e+08
6.500,charge,0.749701000,0.526082507,0.791641135,1.796377000,0.087134000,4.557500e+08,3.958818e+07,4.689984e+08
7.000,reset,0.977576000,0.769495090,0.984200180,0.000293000,1.762730000,6.118200e+07,-1.112727e+07,6.793718e+06
7.500,reset,1.008167000,0.972012366,0.980972859,0.000123000,1.773592000,-7.540000e+07,-1.278722e+07,1.183300e+07
8.000,reset,0.970467000,1.001773389,1.014083499,0.000268000,1.761937000,-7.221600e+07,-1.088155e+07,6.868577e+06
8.500,reset,0.934359000,0.965026226,0.973901289,0.000692000,1.742598000,-7.060600e+07,-8.393965e+06,-3.906507e+06
9.000,reset,0.899056000,0.930162017,0.932405746,0.001284000,1.718879000,-6.620800e+07,-5.572576e+06,-1.791654e+07
