time_ns,phase,mem_meas_v,mem_model_global_step_v,mem_model_piecewise_step_v,out_v,spike_v,dmem_dt_meas_v_per_s,dmem_dt_global_v_per_s,dmem_dt_piecewise_v_per_s
0.000,charge,0.000000000,0.000000000,0.000000000,1.781627000,0.008787000,-0.000000e+00,8.123646e+07,5.078830e+07
0.500,charge,-0.000000000,0.040618230,0.025394148,1.781627000,0.008787000,0.000000e+00,8.123646e+07,5.078830e+07
1.000,charge,-0.000000000,0.040618230,0.025394148,1.781627000,0.008787000,0.000000e+00,8.123646e+07,5.078830e+07
1.500,charge,-0.000000000,0.040618230,0.025394148,1.781627000,0.008787000,0.000000e+00,8.123646e+07,5.078830e+07
2.000,charge,-0.000000000,0.040618230,0.025394148,1.781627000,0.008787000,0.000000e+00,8.123646e+07,5.078830e+07
2.500,charge,-0.000000000,0.040618230,0.025394148,1.781627000,0.008787000,0.000000e+00,8.123646e+07,5.078830e+07
3.000,charge,-0.000000000,0.040618230,0.025394148,1.781627000,0.008787000,0.000000e+00,8.123646e+07,5.078830e+07
3.500,charge,-0.000000000,0.040618230,0.025394148,1.781627000,0.008787000,0.000000e+00,8.123646e+07,5.078830e+07
4.000,charge,-0.000000000,0.040618230,0.025394148,1.781627000,0.008787000,0.000000e+00,8.123646e+07,5.078830e+07
4.500,charge,-0.000000000,0.040618230,0.025394148,1.781627000,0.008787000,0.000000e+00,8.123646e+07,5.078830e+07
5.000,charge,-0.000000000,0.040618230,0.025394148,1.781627000,0.008787000,4.986080e+08,8.123646e+07,5.078830e+07
5.500,charge,0.249304000,0.040618230,0.025394148,1.780152000,0.017045000,4.980540e+08,5.572774e+07,3.694794e+08
6.000,charge,0.498331000,0.277167869,0.434043722,1.773319000,0.049937000,4.961600e+08,3.180804e+07,5.732286e+08
6.500,charge,0.746411000,0.514235022,0.784945295,1.681626000,0.299514000,4.468800e+08,1.951587e+07,4.470608e+08
7.000,reset,0.969851000,0.756168933,0.969941378,0.025641000,1.638578000,5.647800e+07,1.604373e+06,1.878256e+07
7.500,reset,0.998090000,0.970653186,0.979242281,0.021443000,1.665433000,-8.063400e+07,4.499087e+05,2.072447e+07
8.000,reset,0.957773000,0.998314954,1.008452237,0.026181000,1.632657000,-7.576800e+07,2.447960e+06,1.953291e+07
8.500,reset,0.919889000,0.958996980,0.967539454,0.034334000,1.584914000,-7.117400e+07,3.253195e+06,1.355625e+07
9.000,reset,0.884302000,0.921515598,0.926667126,0.048045000,1.518937000,-6.534600e+07,2.756227e+06,2.396184e+06
9.500,reset,0.851629000,0.885680113,0.885500092,0.074998000,1.418281000,-5.722600e+07,8.996635e+04,-1.734669e+07
10.000,reset,0.823016000,0.851673983,0.842955654,0.136907000,1.254801000,-4.561200e+07,-5.740986e+06,-4.847013e+07
10.500,reset,0.800210000,0.820145507,0.798780933,0.353166000,0.976836000,-3.034400e+07,-1.190089e+07,-6.778892e+07
11.000,decay,0.785038000,0.794259555,0.766315540,1.184991000,0.695165000,-2.040200e+07,1.665880e+07,-2.057434e+07
11.500,decay,0.774837000,0.793367399,0.774750829,1.462480000,0.549117000,-1.550200e+07,2.276569e+07,-1.544533e+07
12.000,decay,0.767086000,0.786219843,0.767114333,1.554204000,0.469074000,-1.283400e+07,2.282826e+07,-1.283530e+07
12.500,decay,0.760669000,0.778500130,0.760668350,1.602659000,0.414119000,-1.113600e+07,2.214127e+07,-1.110526e+07
13.000,decay,0.755101000,0.771739634,0.755116369,1.636202000,0.371844000,-9.640000e+06,2.146176e+07,-9.798574e+06
13.500,decay,0.750281000,0.765831882,0.750201713,1.655949000,0.340542000,-8.816000e+06,2.073551e+07,-8.860148e+06
14.000,decay,0.745873000,0.760648753,0.745850926,1.671998000,0.316110000,-8.158000e+06,2.027312e+07,-8.141337e+06
14.500,decay,0.741794000,0.756009558,0.741802332,1.682913000,0.296293000,-7.622000e+06,1.982842e+07,-7.575407e+06
15.000,decay,0.737983000,0.751708211,0.738006296,1.690828000,0.279989000,-7.004000e+06,1.944817e+07,-7.123182e+06
15.500,decay,0.734481000,0.747707087,0.734421409,1.698142000,0.267113000,-7.006000e+06,1.926114e+07,-6.775008e+06
16.000,decay,0.730978000,0.744111572,0.731093496,1.705456000,0.254237000,-6.326000e+06,1.907422e+07,-6.426858e+06
16.500,decay,0.727815000,0.740515109,0.727764571,1.709133000,0.244525000,-6.308000e+06,1.888065e+07,-6.181114e+06
17.000,decay,0.724661000,0.737255326,0.724724443,1.712701000,0.234909000,-5.798000e+06,1.868710e+07,-5.938505e+06
17.500,decay,0.721762000,0.734004550,0.721691748,1.716371000,0.227279000,-5.708000e+06,1.862373e+07,-5.753266e+06
18.000,decay,0.718908000,0.731073865,0.718885367,1.720058000,0.220005000,-5.708000e+06,1.858370e+07,-5.578332e+06
18.500,decay,0.716054000,0.728199848,0.716118834,1.723746000,0.212731000,-5.452000e+06,1.854372e+07,-5.403395e+06
19.000,decay,0.713328000,0.725325860,0.713352303,1.726440000,0.206302000,-5.162000e+06,1.849676e+07,-5.254986e+06
19.500,decay,0.710747000,0.722576382,0.710700507,1.727988000,0.200847000,-5.160000e+06,1.844202e+07,-5.137216e+06
20.000,decay,0.708167000,0.719968008,0.708178392,1.729537000,0.195391000,-5.114000e+06,1.838714e+07,-5.019389e+06
20.500,decay,0.705610000,0.717360572,0.705657306,1.731128000,0.190060000,-4.694000e+06,1.834181e+07,-4.904919e+06
21.000,decay,0.703263000,0.714780905,0.703157540,1.733114000,0.185877000,-4.694000e+06,1.838473e+07,-4.821301e+06
21.500,decay,0.700916000,0.712455364,0.700852349,1.735101000,0.181695000,-4.696000e+06,1.842778e+07,-4.737713e+06
22.000,decay,0.698568000,0.710129890,0.698547144,1.737087000,0.177512000,-4.694000e+06,1.847080e+07,-4.654118e+06
22.500,decay,0.696221000,0.707803401,0.696240941,1.739073000,0.173330000,-4.592000e+06,1.851380e+07,-4.570532e+06
23.000,decay,0.693925000,0.705477898,0.693935734,1.740703000,0.169395000,-4.300000e+06,1.854953e+07,-4.494543e+06
23.500,decay,0.691775000,0.703199763,0.691677729,1.741305000,0.166175000,-4.302000e+06,1.856454e+07,-4.440576e+06
24.000,decay,0.689624000,0.701057269,0.689554712,1.741907000,0.162955000,-4.300000e+06,1.857966e+07,-4.386633e+06
24.500,decay,0.687474000,0.698913829,0.687430683,1.742510000,0.159734000,-4.302000e+06,1.859465e+07,-4.332632e+06
25.000,charge,0.685323000,0.696771327,0.685307684,1.743112000,0.156514000,4.640900e+08,1.860977e+07,4.762922e+08
25.500,reset,0.917368000,0.694627886,0.923469125,0.036585000,1.574846000,4.156640e+08,2.882565e+06,1.125558e+07
26.000,reset,1.125200000,0.918809283,0.922995791,0.014461000,1.721387000,4.008880e+08,-8.986798e+06,1.005065e+07
26.500,reset,1.325644000,1.120706601,1.130225325,0.010734000,1.758731000,3.916600e+08,-2.731104e+07,-2.272918e+07
27.000,reset,1.521474000,1.311988480,1.314279409,0.009451000,1.773668000,-1.212400e+07,-4.671350e+07,-6.176433e+07
27.500,reset,1.515412000,1.498117250,1.490591834,0.009551000,1.773934000,-1.106200e+08,-4.605404e+07,-6.026932e+07
28.000,reset,1.460102000,1.492384980,1.485277342,0.009818000,1.770827000,-1.081760e+08,-4.049511e+07,-4.887324e+07
28.500,reset,1.406014000,1.439854447,1.435665380,0.010171000,1.766820000,-1.065220e+08,-3.512724e+07,-3.804908e+07
29.000,reset,1.352753000,1.388450380,1.386989461,0.010584000,1.762180000,-1.027860e+08,-2.989040e+07,-2.762004e+07
29.500,reset,1.301360000,1.337807802,1.338942981,0.011222000,1.755492000,-9.833200e+07,-2.499126e+07,-1.827685e+07
30.000,reset,1.252194000,1.288864368,1.292221575,0.012128000,1.746361000,-9.833400e+07,-2.049487e+07,-1.022880e+07
30.500,reset,1.203027000,1.241946565,1.247079601,0.013033000,1.737230000,-9.833200e+07,-1.599843e+07,-2.180877e+06
31.000,reset,1.153861000,1.195027784,1.201936562,0.013939000,1.728100000,-9.334000e+07,-1.150196e+07,5.867539e+06
31.500,reset,1.107191000,1.148110019,1.156794770,0.015823000,1.712885000,-8.366000e+07,-7.671766e+06,1.148609e+07
32.000,reset,1.065361000,1.103355117,1.112934047,0.019605000,1.685876000,-8.366000e+07,-5.133039e+06,1.239543e+07
32.500,reset,1.023531000,1.062794481,1.071558714,0.023387000,1.658866000,-8.366000e+07,-2.594388e+06,1.330440e+07
33.000,reset,0.981701000,1.022233806,1.030183200,0.027169000,1.631857000,-8.366000e+07,-5.566052e+04,1.421373e+07
33.500,reset,0.939871000,0.981673170,0.988807867,0.030951000,1.604848000,-7.631800e+07,2.483067e+06,1.512307e+07
34.000,reset,0.901712000,0.941112533,0.947432535,0.039477000,1.557131000,-6.618800e+07,3.340705e+06,9.350135e+06
34.500,reset,0.868618000,0.903382352,0.906387068,0.063596000,1.463152000,-6.297600e+07,1.060938e+06,-8.872698e+06
35.000,reset,0.837130000,0.869148469,0.864181651,0.100764000,1.345294000,-5.215600e+07,-2.442086e+06,-3.151968e+07
35.500,reset,0.811052000,0.835908957,0.821370161,0.212914000,1.131521000,-3.829200e+07,-9.437361e+06,-6.369024e+07
36.000,reset,0.791906000,0.806333319,0.779206880,0.710409000,0.813855000,-2.467000e+07,-2.640615e+06,1.565313e+06
36.500,decay,0.779571000,0.790585693,0.792688657,1.370014000,0.610453000,-1.762600e+07,2.155386e+07,-1.752893e+07
37.000,decay,0.770758000,0.790347930,0.770806535,1.517914000,0.504249000,-1.403400e+07,2.300667e+07,-1.396603e+07
37.500,decay,0.763741000,0.782261335,0.763774987,1.582733000,0.439151000,-1.186400e+07,2.256338e+07,-1.188445e+07
38.000,decay,0.757809000,0.775022689,0.757798777,1.622093000,0.391790000,-1.031800e+07,2.187377e+07,-1.040891e+07
38.500,decay,0.752650000,0.768745884,0.752604544,1.646218000,0.355005000,-9.258000e+06,2.102094e+07,-9.291906e+06
39.000,decay,0.748021000,0.763160471,0.748004047,1.666006000,0.327038000,-8.446000e+06,2.053050e+07,-8.455739e+06
39.500,decay,0.743798000,0.758286252,0.743793130,1.676845000,0.305159000,-7.816000e+06,1.993977e+07,-7.827321e+06
40.000,decay,0.739890000,0.753767883,0.739884339,1.688479000,0.287843000,-7.320000e+06,1.970904e+07,-7.335712e+06
40.500,decay,0.736230000,0.749744522,0.736222144,1.694952000,0.273145000,-6.952000e+06,1.935118e+07,-6.934972e+06
41.000,decay,0.732754000,0.745905589,0.732762514,1.700732000,0.260444000,-6.626000e+06,1.908552e+07,-6.595605e+06
41.500,decay,0.729441000,0.742296759,0.729456197,1.707629000,0.249523000,-6.316000e+06,1.900303e+07,-6.306655e+06
42.000,decay,0.726283000,0.738942514,0.726287673,1.711772000,0.239798000,-6.126000e+06,1.883505e+07,-6.059218e+06
42.500,decay,0.723220000,0.735700526,0.723253391,1.714225000,0.230807000,-5.794000e+06,1.861463e+07,-5.837262e+06
43.000,decay,0.720323000,0.732527317,0.720301369,1.718112000,0.223242000,-5.688000e+06,1.856861e+07,-5.653519e+06
43.500,decay,0.717479000,0.729607307,0.717496240,1.722453000,0.216128000,-5.502000e+06,1.857773e+07,-5.481850e+06
44.000,decay,0.714728000,0.726767863,0.714738075,1.725307000,0.209554000,-5.292000e+06,1.853167e+07,-5.328987e+06
44.500,decay,0.712082000,0.723993835,0.712063506,1.726511000,0.203578000,-5.294000e+06,1.842412e+07,-5.196911e+06
45.000,charge,0.709435000,0.721294061,0.709483544,1.727716000,0.197602000,4.252720e+08,1.831674e+07,4.365791e+08
45.500,reset,0.922071000,0.718593368,0.927724561,0.035175000,1.582072000,4.152740e+08,2.858167e+06,1.232937e+07
46.000,reset,1.129708000,0.923500084,0.928235686,0.014411000,1.722937000,4.006660e+08,-9.342990e+06,9.584056e+06
46.500,reset,1.330041000,1.125036505,1.134500028,0.010758000,1.759398000,3.914580e+08,-2.771842e+07,-2.346612e+07
47.000,reset,1.525770000,1.316181790,1.318307938,0.009506000,1.773951000,-1.229200e+07,-4.713770e+07,-6.260741e+07
47.500,reset,1.519624000,1.502201151,1.494466294,0.009534000,1.774135000,-1.107960e+08,-4.647988e+07,-6.114894e+07
48.000,reset,1.464226000,1.496384060,1.489049530,0.009796000,1.771087000,-1.082900e+08,-4.090756e+07,-4.971337e+07
48.500,reset,1.410081000,1.443772222,1.439369314,0.010143000,1.767128000,-1.069340e+08,-3.553044e+07,-3.886105e+07
49.000,reset,1.356614000,1.392315781,1.390650476,0.010540000,1.762660000,-1.023140e+08,-3.025993e+07,-2.832874e+07
49.500,reset,1.305457000,1.341484035,1.342449628,0.011199000,1.755758000,-9.914800e+07,-2.540050e+07,-1.910908e+07
50.000,reset,1.255883000,1.292756752,1.295902458,0.012038000,1.747189000,-9.914800e+07,-2.082267e+07,-1.078844e+07
50.500,reset,1.206309000,1.245471667,1.250488781,0.012878000,1.738619000,-9.914600e+07,-1.624485e+07,-2.467802e+06
51.000,reset,1.156736000,1.198186573,1.205075099,0.013717000,1.730049000,-9.032400e+07,-1.166720e+07,5.852255e+06
51.500,reset,1.111574000,1.150902398,1.159662127,0.016115000,1.711440000,-8.481800e+07,-8.222565e+06,1.007830e+07
52.000,reset,1.069165000,1.107462717,1.116613150,0.019485000,1.686564000,-8.481600e+07,-5.485232e+06,1.174830e+07
52.500,reset,1.026757000,1.066422384,1.075039151,0.022855000,1.661687000,-8.481600e+07,-2.748080e+06,1.341771e+07
53.000,reset,0.984349000,1.025382960,1.033465857,0.026225000,1.636810000,-8.481800e+07,-1.092792e+04,1.508713e+07
53.500,reset,0.941940000,0.984343536,0.991892563,0.029596000,1.611933000,-7.547400e+07,2.726387e+06,1.675712e+07
54.000,reset,0.904203000,0.943303194,0.950318560,0.038181000,1.562946000,-6.639600e+07,3.446866e+06,1.044776e+07
54.500,reset,0.871005000,0.905926433,0.909426881,0.060982000,1.471448000,-6.327800e+07,1.289823e+06,-7.316124e+06
55.000,reset,0.839366000,0.871649912,0.867346938,0.097935000,1.354572000,-5.316600e+07,-2.135314e+06,-2.964787e+07
55.500,reset,0.812783000,0.838298343,0.824542064,0.200314000,1.150363000,-3.945600e+07,-8.919393e+06,-6.169116e+07
56.000,reset,0.793055000,0.808323304,0.781937419,0.646295000,0.834892000,-2.548800e+07,-4.890905e+06,-1.379593e+07
56.500,decay,0.780311000,0.790609548,0.786157036,1.351527000,0.620740000,-1.794600e+07,2.118301e+07,-1.788706e+07
57.000,decay,0.771338000,0.790902505,0.771367471,1.510357000,0.510029000,-1.424400e+07,2.294574e+07,-1.415634e+07
