iin_amp,cmul,csum,pass,latency_ns,energy_j,energy_per_op_j
140u,1p,700f,FAIL,NA,NA,NA
140u,1p,500f,FAIL,NA,NA,NA
140u,1p,300f,FAIL,NA,NA,NA
140u,1p,200f,FAIL,NA,NA,NA
140u,700f,700f,FAIL,NA,NA,NA
140u,700f,500f,FAIL,NA,NA,NA
140u,700f,300f,FAIL,NA,NA,NA
140u,700f,200f,FAIL,NA,NA,NA
140u,500f,700f,PASS,1.863,9.011984e-12,7.509987e-13
140u,500f,500f,PASS,1.880,8.918997e-12,7.432498e-13
140u,500f,300f,PASS,1.942,8.719197e-12,7.265998e-13
140u,500f,200f,PASS,1.995,8.518245e-12,7.098538e-13
140u,300f,700f,PASS,1.247,1.071348e-11,8.927902e-13
140u,300f,500f,PASS,1.396,1.040953e-11,8.674605e-13
140u,300f,300f,PASS,1.454,9.892264e-12,8.243553e-13
140u,300f,200f,PASS,1.394,9.505038e-12,7.920865e-13
160u,1p,700f,FAIL,NA,NA,NA
160u,1p,500f,FAIL,NA,NA,NA
160u,1p,300f,FAIL,NA,NA,NA
160u,1p,200f,FAIL,NA,NA,NA
160u,700f,700f,PASS,2.161,8.397783e-12,6.998152e-13
160u,700f,500f,PASS,2.166,8.390216e-12,6.991846e-13
160u,700f,300f,PASS,2.180,8.371703e-12,6.976419e-13
160u,700f,200f,PASS,2.194,8.346925e-12,6.955771e-13
160u,500f,700f,PASS,1.650,1.110273e-11,9.252272e-13
160u,500f,500f,PASS,1.752,1.088370e-11,9.069747e-13
160u,500f,300f,PASS,1.862,1.047770e-11,8.731416e-13
160u,500f,200f,PASS,1.840,1.014689e-11,8.455738e-13
160u,300f,700f,FAIL,1.221,1.248571e-11,1.040476e-12
160u,300f,500f,FAIL,1.357,1.205409e-11,1.004508e-12
160u,300f,300f,FAIL,1.348,1.135817e-11,9.465141e-13
160u,300f,200f,FAIL,1.262,1.086698e-11,9.055820e-13
180u,1p,700f,FAIL,NA,NA,NA
180u,1p,500f,FAIL,NA,NA,NA
180u,1p,300f,FAIL,NA,NA,NA
180u,1p,200f,FAIL,NA,NA,NA
180u,700f,700f,PASS,1.971,1.088210e-11,9.068413e-13
180u,700f,500f,PASS,1.986,1.079168e-11,8.993067e-13
180u,700f,300f,PASS,2.052,1.060445e-11,8.837044e-13
180u,700f,200f,PASS,2.106,1.040710e-11,8.672586e-13
180u,500f,700f,PASS,1.591,1.291325e-11,1.076104e-12
180u,500f,500f,PASS,1.731,1.257261e-11,1.047718e-12
180u,500f,300f,PASS,1.757,1.200861e-11,1.000717e-12
180u,500f,200f,PASS,1.685,1.160260e-11,9.668833e-13
180u,300f,700f,FAIL,1.215,1.403878e-11,1.169898e-12
180u,300f,500f,FAIL,1.323,1.348006e-11,1.123338e-12
180u,300f,300f,FAIL,1.263,1.260593e-11,1.050494e-12
180u,300f,200f,FAIL,1.199,1.200545e-11,1.000454e-12
200u,1p,700f,FAIL,NA,NA,NA
200u,1p,500f,FAIL,NA,NA,NA
200u,1p,300f,FAIL,NA,NA,NA
200u,1p,200f,FAIL,NA,NA,NA
200u,700f,700f,PASS,1.797,1.305860e-11,1.088217e-12
200u,700f,500f,PASS,1.914,1.283151e-11,1.069293e-12
200u,700f,300f,PASS,2.022,1.242800e-11,1.035667e-12
200u,700f,200f,PASS,1.993,1.209123e-11,1.007603e-12
200u,500f,700f,PASS,1.593,1.454428e-11,1.212023e-12
200u,500f,500f,PASS,1.698,1.410083e-11,1.175069e-12
200u,500f,300f,PASS,1.652,1.342462e-11,1.118718e-12
200u,500f,200f,PASS,1.551,1.298361e-11,1.081968e-12
200u,300f,700f,FAIL,1.233,1.536514e-11,1.280429e-12
200u,300f,500f,FAIL,1.317,1.470144e-11,1.225120e-12
200u,300f,300f,FAIL,1.224,1.369680e-11,1.141400e-12
200u,300f,200f,FAIL,1.284,1.302773e-11,1.085644e-12
220u,1p,700f,PASS,2.233,1.120208e-11,9.335063e-13
220u,1p,500f,PASS,2.239,1.119482e-11,9.329014e-13
220u,1p,300f,PASS,2.253,1.117613e-11,9.313446e-13
220u,1p,200f,PASS,2.268,1.115320e-11,9.294329e-13
220u,700f,700f,PASS,1.788,1.496706e-11,1.247255e-12
220u,700f,500f,PASS,1.923,1.460475e-11,1.217062e-12
220u,700f,300f,PASS,1.940,1.402341e-11,1.168617e-12
220u,700f,200f,PASS,1.864,1.361639e-11,1.134699e-12
220u,500f,700f,PASS,1.601,1.606243e-11,1.338536e-12
220u,500f,500f,PASS,1.662,1.553467e-11,1.294556e-12
220u,500f,300f,PASS,1.557,1.478194e-11,1.231828e-12
220u,500f,200f,PASS,1.440,1.431954e-11,1.193295e-12
220u,300f,700f,FAIL,1.251,1.667760e-11,1.389800e-12
220u,300f,500f,FAIL,1.287,1.590284e-11,1.325237e-12
220u,300f,300f,FAIL,1.309,1.476608e-11,1.230507e-12
220u,300f,200f,FAIL,1.302,1.403547e-11,1.169622e-12
