iin_amp,neuro_pass,neuro_energy_pj,ratio_neuro_over_digital,latency_ns,total_partial_spikes
220u,PASS,17.123380000,529.942986667,2.224000000,2
180u,FAIL,13.634490000,421.967062127,0.000000000,0
150u,FAIL,11.343300000,351.058160285,0.000000000,0
120u,FAIL,9.072042000,280.766124016,0.000000000,0
100u,FAIL,7.560043000,233.972017601,0.000000000,0
80u,FAIL,6.048045000,187.177942135,0.000000000,0
60u,FAIL,4.536046000,140.383835720,0.000000000,0
40u,FAIL,3.024047000,93.589729306,0.000000000,0
30u,FAIL,2.268048000,70.192691573,0.000000000,0
20u,FAIL,1.512049000,46.795653840,0.000000000,0
