rleak_ohm,channel,n_points,dt_dr_fb_ns_per_ohm,dt_dr_fb_ns_per_kohm,intercept_ns,r2,slope_stderr_ns_per_kohm,slope_ci95_low_ns_per_kohm,slope_ci95_high_ns_per_kohm,first_spike_min_ns,first_spike_max_ns,min_nonzero_step_ns
5000000,spike0,9,-0.0005988548,-0.5988548,10.279953,0.999701,0.0039170,-0.6065321,-0.5911776,9.387000,9.925000,0.058000
5000000,spike1,9,-0.0007505645,-0.7505645,13.012460,0.999663,0.0052055,-0.7607673,-0.7403617,11.894000,12.567000,0.072000
5000000,spike2,9,-0.0004810806,-0.4810806,13.704537,0.999928,0.0015387,-0.4840966,-0.4780647,12.985000,13.417000,0.047000
5000000,spike3,9,-0.0001710484,-0.1710484,13.896282,0.981361,0.0089097,-0.1885113,-0.1535854,13.641000,13.795000,0.010000
6000000,spike0,9,-0.0005995484,-0.5995484,10.281432,0.999722,0.0037758,-0.6069489,-0.5921478,9.387000,9.926000,0.058000
6000000,spike1,9,-0.0007513548,-0.7513548,13.013703,0.999664,0.0052068,-0.7615602,-0.7411495,11.894000,12.568000,0.073000
6000000,spike2,9,-0.0004812903,-0.4812903,13.704194,0.999889,0.0019181,-0.4850498,-0.4775308,12.985000,13.416000,0.046000
6000000,spike3,9,-0.0001701774,-0.1701774,13.894402,0.981428,0.0088482,-0.1875199,-0.1528350,13.641000,13.793000,0.011000
7000000,spike0,9,-0.0005988387,-0.5988387,10.280826,0.999680,0.0040493,-0.6067754,-0.5909020,9.388000,9.926000,0.058000
7000000,spike1,9,-0.0007502581,-0.7502581,13.013039,0.999661,0.0052222,-0.7604936,-0.7400225,11.895000,12.568000,0.072000
7000000,spike2,9,-0.0004810161,-0.4810161,13.704027,0.999917,0.0016600,-0.4842698,-0.4777625,12.985000,13.416000,0.047000
7000000,spike3,9,-0.0001695806,-0.1695806,13.892687,0.982895,0.0084555,-0.1861534,-0.1530078,13.640000,13.791000,0.010000
8000000,spike0,9,-0.0005988387,-0.5988387,10.280826,0.999680,0.0040493,-0.6067754,-0.5909020,9.388000,9.926000,0.058000
8000000,spike1,9,-0.0007510161,-0.7510161,13.014027,0.999652,0.0052967,-0.7613977,-0.7406346,11.895000,12.568000,0.072000
8000000,spike2,9,-0.0004805161,-0.4805161,13.703077,0.999887,0.0019341,-0.4843070,-0.4767253,12.985000,13.416000,0.047000
8000000,spike3,9,-0.0001691129,-0.1691129,13.891992,0.983116,0.0083764,-0.1855306,-0.1526952,13.640000,13.791000,0.011000
9000000,spike0,9,-0.0005985645,-0.5985645,10.280660,0.999694,0.0039560,-0.6063184,-0.5908107,9.388000,9.926000,0.058000
9000000,spike1,9,-0.0007513548,-0.7513548,13.014703,0.999664,0.0052068,-0.7615602,-0.7411495,11.895000,12.569000,0.073000
9000000,spike2,9,-0.0004809355,-0.4809355,13.703390,0.999877,0.0020171,-0.4848889,-0.4769820,12.985000,13.416000,0.047000
9000000,spike3,9,-0.0001689194,-0.1689194,13.891463,0.983026,0.0083896,-0.1853631,-0.1524756,13.640000,13.790000,0.011000
10000000,spike0,9,-0.0005993226,-0.5993226,10.281648,0.999686,0.0040137,-0.6071894,-0.5914558,9.388000,9.926000,0.058000
10000000,spike1,9,-0.0007515161,-0.7515161,13.014977,0.999675,0.0051246,-0.7615603,-0.7414719,11.895000,12.569000,0.073000
10000000,spike2,9,-0.0004806290,-0.4806290,13.702969,0.999889,0.0019173,-0.4843870,-0.4768710,12.985000,13.416000,0.048000
10000000,spike3,9,-0.0001697581,-0.1697581,13.892089,0.981705,0.0087590,-0.1869257,-0.1525905,13.640000,13.790000,0.011000
12000000,spike0,9,-0.0005999677,-0.5999677,10.282745,0.999720,0.0037979,-0.6074116,-0.5925239,9.388000,9.927000,0.059000
12000000,spike1,9,-0.0007509839,-0.7509839,13.014773,0.999658,0.0052495,-0.7612730,-0.7406948,11.896000,12.569000,0.073000
12000000,spike2,9,-0.0004803548,-0.4803548,13.702803,0.999899,0.0018292,-0.4839401,-0.4767696,12.985000,13.416000,0.047000
12000000,spike3,9,-0.0001683871,-0.1683871,13.890258,0.981454,0.0087488,-0.1855347,-0.1512395,13.640000,13.789000,0.010000
