time_ns,mem,spike,out
0.000,0.000000,0.008787,1.781627
0.500,-0.000000,0.008787,1.781627
1.000,-0.000000,0.008787,1.781627
1.500,-0.000000,0.008787,1.781627
2.000,-0.000000,0.008787,1.781627
2.500,-0.000000,0.008787,1.781627
3.000,-0.000000,0.008787,1.781627
3.500,-0.000000,0.008787,1.781627
4.000,-0.000000,0.008787,1.781627
4.500,-0.000000,0.008787,1.781627
5.000,-0.000000,0.008787,1.781627
5.500,0.249304,0.017045,1.780152
6.000,0.498331,0.049937,1.773319
6.500,0.746411,0.299514,1.681626
7.000,0.969851,1.638578,0.025641
7.500,0.998090,1.665433,0.021443
8.000,0.957773,1.632657,0.026181
8.500,0.919889,1.584914,0.034334
9.000,0.884302,1.518937,0.048045
9.500,0.851629,1.418281,0.074998
10.000,0.823016,1.254801,0.136907
10.500,0.800210,0.976836,0.353166
11.000,0.785038,0.695165,1.184991
11.500,0.774837,0.549117,1.462480
12.000,0.767086,0.469074,1.554204
12.500,0.760669,0.414119,1.602659
13.000,0.755101,0.371844,1.636202
13.500,0.750281,0.340542,1.655949
14.000,0.745873,0.316110,1.671998
14.500,0.741794,0.296293,1.682913
15.000,0.737983,0.279989,1.690828
15.500,0.734481,0.267113,1.698142
16.000,0.730978,0.254237,1.705456
16.500,0.727815,0.244525,1.709133
17.000,0.724661,0.234909,1.712701
17.500,0.721762,0.227279,1.716371
18.000,0.718908,0.220005,1.720058
18.500,0.716054,0.212731,1.723746
19.000,0.713328,0.206302,1.726440
19.500,0.710747,0.200847,1.727988
20.000,0.708167,0.195391,1.729537
20.500,0.705610,0.190060,1.731128
21.000,0.703263,0.185877,1.733114
21.500,0.700916,0.181695,1.735101
22.000,0.698568,0.177512,1.737087
22.500,0.696221,0.173330,1.739073
23.000,0.693925,0.169395,1.740703
23.500,0.691775,0.166175,1.741305
24.000,0.689624,0.162955,1.741907
24.500,0.687474,0.159734,1.742510
25.000,0.685323,0.156514,1.743112
25.500,0.917368,1.574846,0.036585
26.000,1.125200,1.721387,0.014461
26.500,1.325644,1.758731,0.010734
27.000,1.521474,1.773668,0.009451
27.500,1.515412,1.773934,0.009551
28.000,1.460102,1.770827,0.009818
28.500,1.406014,1.766820,0.010171
29.000,1.352753,1.762180,0.010584
29.500,1.301360,1.755492,0.011222
30.000,1.252194,1.746361,0.012128
30.500,1.203027,1.737230,0.013033
31.000,1.153861,1.728100,0.013939
31.500,1.107191,1.712885,0.015823
32.000,1.065361,1.685876,0.019605
32.500,1.023531,1.658866,0.023387
33.000,0.981701,1.631857,0.027169
33.500,0.939871,1.604848,0.030951
34.000,0.901712,1.557131,0.039477
34.500,0.868618,1.463152,0.063596
35.000,0.837130,1.345294,0.100764
35.500,0.811052,1.131521,0.212914
36.000,0.791906,0.813855,0.710409
36.500,0.779571,0.610453,1.370014
37.000,0.770758,0.504249,1.517914
37.500,0.763741,0.439151,1.582733
38.000,0.757809,0.391790,1.622093
38.500,0.752650,0.355005,1.646218
39.000,0.748021,0.327038,1.666006
39.500,0.743798,0.305159,1.676845
40.000,0.739890,0.287843,1.688479
40.500,0.736230,0.273145,1.694952
41.000,0.732754,0.260444,1.700732
41.500,0.729441,0.249523,1.707629
42.000,0.726283,0.239798,1.711772
42.500,0.723220,0.230807,1.714225
43.000,0.720323,0.223242,1.718112
43.500,0.717479,0.216128,1.722453
44.000,0.714728,0.209554,1.725307
44.500,0.712082,0.203578,1.726511
45.000,0.709435,0.197602,1.727716
45.500,0.922071,1.582072,0.035175
46.000,1.129708,1.722937,0.014411
46.500,1.330041,1.759398,0.010758
47.000,1.525770,1.773951,0.009506
47.500,1.519624,1.774135,0.009534
48.000,1.464226,1.771087,0.009796
48.500,1.410081,1.767128,0.010143
49.000,1.356614,1.762660,0.010540
49.500,1.305457,1.755758,0.011199
50.000,1.255883,1.747189,0.012038
50.500,1.206309,1.738619,0.012878
51.000,1.156736,1.730049,0.013717
51.500,1.111574,1.711440,0.016115
52.000,1.069165,1.686564,0.019485
52.500,1.026757,1.661687,0.022855
53.000,0.984349,1.636810,0.026225
53.500,0.941940,1.611933,0.029596
54.000,0.904203,1.562946,0.038181
54.500,0.871005,1.471448,0.060982
55.000,0.839366,1.354572,0.097935
55.500,0.812783,1.150363,0.200314
56.000,0.793055,0.834892,0.646295
56.500,0.780311,0.620740,1.351527
57.000,0.771338,0.510029,1.510357
57.500,0.764216,0.443260,1.580119
58.000,0.758234,0.394990,1.619301
58.500,0.752998,0.357286,1.647351
59.000,0.748377,0.328949,1.663571
59.500,0.744131,0.306861,1.676677
60.000,0.740202,0.289169,1.687045
60.500,0.736511,0.274171,1.694724
61.000,0.733022,0.261229,1.700445
61.500,0.729674,0.250269,1.707926
62.000,0.726533,0.240388,1.710632
62.500,0.723480,0.231480,1.714171
63.000,0.720544,0.223910,1.719114
63.500,0.717709,0.216729,1.722108
64.000,0.714956,0.209868,1.723499
64.500,0.712270,0.203759,1.726198
65.000,0.709657,0.198478,1.730332
65.500,0.923022,1.583493,0.034911
66.000,1.130628,1.723311,0.014360
66.500,1.330945,1.759576,0.010731
67.000,1.526644,1.774012,0.009505
67.500,1.538971,1.775028,0.009459
68.000,1.483235,1.772202,0.009700
68.500,1.428672,1.768563,0.010017
69.000,1.374732,1.764463,0.010377
69.500,1.323221,1.758075,0.010975
70.000,1.272492,1.750949,0.011650
70.500,1.221763,1.743823,0.012325
71.000,1.173663,1.731771,0.013692
71.500,1.129562,1.712228,0.016111
72.000,1.085461,1.692684,0.018531
72.500,1.041359,1.673141,0.020950
73.000,0.997258,1.653598,0.023370
73.500,0.954692,1.627870,0.026980
74.000,0.917307,1.576146,0.036573
74.500,0.882229,1.505966,0.051465
75.000,0.849548,1.403183,0.080406
75.500,0.821840,1.221115,0.167533
76.000,0.798857,0.949456,0.388610
76.500,0.784160,0.680631,1.224589
77.000,0.774183,0.541224,1.474841
77.500,0.766549,0.463792,1.559649
78.000,0.760215,0.410312,1.607228
78.500,0.754759,0.369488,1.638099
79.000,0.749909,0.337469,1.657293
79.500,0.745538,0.313865,1.674205
80.000,0.741501,0.294412,1.682621
80.500,0.737748,0.279074,1.693121
81.000,0.734207,0.265601,1.698757
81.500,0.730831,0.253858,1.703948
82.000,0.727595,0.243737,1.710537
82.500,0.724525,0.234685,1.713865
83.000,0.721512,0.226011,1.716038
83.500,0.718686,0.219068,1.720183
84.000,0.715874,0.212251,1.724471
84.500,0.713187,0.205973,1.726041
85.000,0.710538,0.199860,1.726784
85.500,0.924779,1.586282,0.034362
86.000,1.132264,1.723449,0.014426
86.500,1.332518,1.759552,0.010801
87.000,1.528218,1.774043,0.009515
87.500,1.522054,1.774252,0.009524
88.000,1.466631,1.771220,0.009784
88.500,1.412409,1.767316,0.010127
89.000,1.359039,1.762768,0.010531
89.500,1.307414,1.756330,0.011142
90.000,1.258148,1.747338,0.012031
90.500,1.208883,1.738346,0.012920
91.000,1.159617,1.729354,0.013810
91.500,1.112397,1.715430,0.015489
92.000,1.070498,1.688681,0.019221
92.500,1.028598,1.661932,0.022954
93.000,0.986698,1.635182,0.026686
93.500,0.944799,1.608433,0.030419
94.000,0.906045,1.564086,0.038166
94.500,0.872515,1.474968,0.060492
95.000,0.840407,1.367622,0.091278
95.500,0.813832,1.163645,0.191333
96.000,0.793760,0.848183,0.601863
96.500,0.780781,0.627794,1.339611
97.000,0.771679,0.513666,1.508691
97.500,0.764496,0.445554,1.577836
98.000,0.758496,0.397094,1.617489
98.500,0.753212,0.358480,1.643630
99.000,0.748531,0.329743,1.664720
99.500,0.744265,0.307233,1.675456
100.000,0.740356,0.289907,1.687099
100.500,0.736658,0.274810,1.694346
101.000,0.733150,0.261753,1.699913
101.500,0.729837,0.250824,1.706817
102.000,0.726649,0.240874,1.711467
102.500,0.723586,0.231876,1.713923
103.000,0.720663,0.224095,1.717603
103.500,0.717818,0.216975,1.721949
104.000,0.715043,0.210261,1.725133
104.500,0.712393,0.204253,1.726296
105.000,0.709742,0.198245,1.727459
105.500,0.922334,1.582476,0.035094
106.000,1.129954,1.722966,0.014418
106.500,1.330278,1.759399,0.010766
107.000,1.526007,1.773957,0.009507
107.500,1.519861,1.774146,0.009533
108.000,1.464461,1.771099,0.009795
108.500,1.410307,1.767146,0.010142
109.000,1.356858,1.762663,0.010540
109.500,1.305636,1.755824,0.011193
110.000,1.256114,1.747185,0.012040
110.500,1.206591,1.738546,0.012887
