time_ns,mem0,mem1,mem2,mem3
0.000,0.084945,0.089740,0.091931,0.094387
0.500,0.084945,0.089740,0.091931,0.094387
1.000,0.084945,0.089740,0.091931,0.094387
1.500,0.084945,0.089740,0.091931,0.094387
2.000,0.084945,0.089740,0.091931,0.094387
2.500,0.084945,0.089740,0.091931,0.094387
3.000,0.084945,0.089740,0.091931,0.094387
3.500,0.084945,0.089740,0.091931,0.094387
4.000,0.084945,0.089740,0.091931,0.094387
4.500,0.084945,0.089740,0.091931,0.094387
5.000,0.084945,0.089740,0.091931,0.094387
5.500,0.141042,0.091625,0.091969,0.094387
6.000,0.245914,0.110055,0.092764,0.094414
6.500,0.349576,0.187828,0.098866,0.094663
7.000,0.441946,0.297267,0.137978,0.096710
7.500,0.511085,0.407322,0.242184,0.112914
8.000,0.544025,0.510985,0.354775,0.190606
8.500,0.551804,0.604425,0.465089,0.292096
9.000,0.543689,0.686245,0.568906,0.370345
9.500,0.525693,0.756044,0.664382,0.440965
10.000,0.501525,0.812914,0.749745,0.502403
10.500,0.474841,0.860521,0.827413,0.557088
11.000,0.446648,0.897764,0.896209,0.604272
11.500,0.418285,0.924588,0.955860,0.644082
12.000,0.390809,0.943398,1.008510,0.678582
12.500,0.364039,0.955828,1.055586,0.708854
13.000,0.339526,0.956711,1.094666,0.733520
13.500,0.316443,0.950280,1.128681,0.754634
14.000,0.293360,0.943848,1.162697,0.775747
14.500,0.273565,0.914003,1.188876,0.791680
15.000,0.256625,0.854067,1.210536,0.804909
15.500,0.242119,0.779136,1.228460,0.816150
16.000,0.229631,0.699039,1.242981,0.825751
16.500,0.218814,0.619704,1.254273,0.833958
17.000,0.209806,0.547600,1.261103,0.840560
17.500,0.201319,0.479105,1.266173,0.846666
18.000,0.193904,0.418023,1.267626,0.851754
18.500,0.187518,0.367440,1.262840,0.855771
19.000,0.181406,0.319952,1.255724,0.859491
19.500,0.176010,0.281354,1.236981,0.862403
20.000,0.171067,0.249804,1.180632,0.864673
20.500,0.166492,0.224414,1.092592,0.866170
21.000,0.162236,0.204199,0.989484,0.866726
21.500,0.158253,0.188048,0.883038,0.866196
22.000,0.154488,0.174844,0.779870,0.864533
22.500,0.150950,0.164325,0.684599,0.861339
23.000,0.147571,0.155518,0.596702,0.856870
23.500,0.144417,0.148678,0.521458,0.849816
24.000,0.141374,0.142670,0.452544,0.840920
24.500,0.138564,0.138158,0.397302,0.826964
25.000,0.135754,0.133646,0.342059,0.813007
25.500,0.187288,0.133467,0.299688,0.790224
26.000,0.286561,0.162314,0.266831,0.742255
26.500,0.383900,0.258121,0.260058,0.666281
27.000,0.470547,0.363345,0.327235,0.637698
27.500,0.534187,0.465939,0.417750,0.652049
28.000,0.563671,0.560913,0.508017,0.672131
28.500,0.568126,0.645150,0.593514,0.693586
