time_ns,spike0,spike1,spike2,spike3
0.000,0.082569,0.084841,0.087104,0.051642
0.500,0.082569,0.084841,0.087104,0.051649
1.000,0.082569,0.084841,0.087104,0.051649
1.500,0.082569,0.084841,0.087104,0.051649
2.000,0.082569,0.084841,0.087104,0.051649
2.500,0.082569,0.084841,0.087104,0.051649
3.000,0.082569,0.084841,0.087104,0.051649
3.500,0.082569,0.084841,0.087104,0.051649
4.000,0.082569,0.084841,0.087104,0.051649
4.500,0.082569,0.084841,0.087104,0.051649
5.000,0.082569,0.084841,0.087104,0.051649
5.500,0.090670,0.085041,0.087108,0.051649
6.000,0.141638,0.087611,0.087205,0.051663
6.500,0.291540,0.106269,0.088003,0.051793
7.000,0.411348,0.220087,0.094491,0.052881
7.500,0.523527,0.353704,0.140889,0.062679
8.000,0.624295,0.473190,0.294913,0.159762
8.500,0.712935,0.583796,0.408964,1.511292
9.000,0.789290,0.684843,0.491848,1.698937
9.500,0.853537,0.776034,0.563366,1.728939
10.000,0.905089,0.856397,0.623967,1.742436
10.500,0.947650,0.928897,0.677225,1.751337
11.000,0.980178,0.992571,0.722616,1.756615
11.500,1.002595,1.047350,0.760567,1.760300
12.000,1.017070,1.095474,0.793284,1.763004
12.500,1.025222,1.138301,0.821836,1.764928
13.000,1.020191,1.173650,0.845004,1.766388
13.500,1.006809,1.204263,0.864762,1.767554
14.000,0.993427,1.234876,0.884521,1.768720
14.500,0.932341,1.258150,0.899359,1.769375
15.000,0.846902,1.277005,0.911658,1.769975
15.500,0.757228,1.292201,0.922087,1.770446
16.000,0.668849,1.304039,0.930974,1.770777
16.500,0.586380,1.312629,0.938573,1.771209
17.000,0.514833,1.316608,0.944652,1.771381
17.500,0.447634,1.318637,0.950272,1.771587
18.000,0.389368,1.316657,0.954949,1.771864
18.500,0.341884,1.306995,0.958597,1.771942
19.000,0.297617,1.293893,0.961970,1.772094
19.500,0.262020,1.253999,0.964534,1.772142
20.000,0.233097,1.152908,0.966292,1.772214
20.500,0.209857,1.038691,0.967062,1.772268
21.000,0.191355,0.922239,0.966664,1.772340
21.500,0.176532,0.810769,0.964913,1.772319
22.000,0.164374,0.707836,0.961758,1.772263
22.500,0.154633,0.616343,0.956691,1.772121
23.000,0.146452,0.533863,0.950035,1.772031
23.500,0.140027,0.464894,0.940024,1.771737
24.000,0.134353,0.402367,0.927515,1.771365
24.500,0.130050,0.353131,0.907989,1.770870
25.000,0.125746,0.303896,0.888463,1.770375
25.500,0.136252,0.267295,0.852912,1.769343
26.000,0.229125,0.245169,0.755477,1.767006
26.500,0.365524,0.285377,0.670230,1.762211
27.000,0.478090,0.428370,0.718001,1.759909
27.500,0.580925,0.529708,0.747604,1.761072
28.000,0.672542,0.622370,0.774074,1.762590
28.500,0.751967,0.706549,0.798359,1.764064
29.000,0.820529,0.783235,0.820634,1.765385
29.500,0.878783,0.852748,0.840874,1.766532
30.000,0.925812,0.914386,0.858731,1.767488
30.500,0.962804,0.968970,0.874396,1.768283
31.000,0.993018,1.018844,0.888581,1.768978
31.500,1.014221,1.062495,0.900796,1.769547
32.000,1.027831,1.101277,0.911491,1.770029
32.500,1.034195,1.135412,0.920734,1.770429
33.000,1.038060,1.168217,0.929568,1.770809
33.500,1.031507,1.195479,0.936697,1.771102
34.000,1.013024,1.219107,0.942767,1.771346
34.500,0.961556,1.239931,0.948065,1.771555
35.000,0.878294,1.257743,0.952636,1.771733
35.500,0.788268,1.272497,0.956563,1.771883
36.000,0.698526,1.284332,0.959940,1.772011
36.500,0.613447,1.293579,0.962886,1.772122
37.000,0.536685,1.299363,0.965360,1.772214
37.500,0.468304,1.302119,0.967491,1.772293
38.000,0.409933,1.300058,0.969238,1.772358
38.500,0.355494,1.295952,0.970839,1.772418
39.000,0.312642,1.281072,0.972007,1.772463
39.500,0.272869,1.259652,0.973045,1.772503
40.000,0.241756,1.173072,0.973577,1.772531
40.500,0.216807,1.061835,0.973382,1.772543
41.000,0.196878,0.945734,0.972241,1.772532
41.500,0.180728,0.832652,0.969997,1.772493
42.000,0.167815,0.727940,0.966454,1.772419
42.500,0.157157,0.633050,0.961414,1.772305
43.000,0.149001,0.552677,0.953701,1.772115
43.500,0.141519,0.476510,0.945186,1.771903
44.000,0.135799,0.415051,0.932292,1.771563
44.500,0.130776,0.359760,0.916424,1.771133
45.000,0.126642,0.312627,0.895782,1.770560
45.500,0.136943,0.274527,0.863995,1.769673
46.000,0.228271,0.251551,0.783314,1.767824
46.500,0.365525,0.290195,0.698585,1.763736
47.000,0.478061,0.432247,0.741104,1.761754
47.500,0.580862,0.532777,0.766743,1.762579
48.000,0.671807,0.624174,0.790096,1.763776
48.500,0.751217,0.707612,0.811887,1.764988
49.000,0.819725,0.783598,0.832030,1.766105
49.500,0.877648,0.852296,0.850384,1.767090
50.000,0.926455,0.914674,0.867065,1.767952
50.500,0.963110,0.968612,0.881399,1.768651
51.000,0.992106,1.017296,0.894219,1.769257
51.500,1.015613,1.062215,0.905956,1.769796
52.000,1.027099,1.099356,0.915450,1.770210
52.500,1.036143,1.134917,0.924490,1.770598
53.000,1.035819,1.165560,0.932130,1.770918
53.500,1.029576,1.193096,0.938887,1.771193
54.000,1.014074,1.217680,0.944837,1.771431
54.500,0.962742,1.238460,0.949784,1.771625
55.000,0.878634,1.256201,0.954060,1.771789
55.500,0.788932,1.270947,0.957742,1.771929
56.000,0.698932,1.283142,0.960972,1.772051
56.500,0.615546,1.291714,0.963657,1.772151
57.000,0.537950,1.298031,0.966057,1.772241
57.500,0.470738,1.300081,0.968027,1.772314
58.000,0.411004,1.298898,0.969726,1.772377
58.500,0.357313,1.293592,0.971212,1.772432
59.000,0.312086,1.282511,0.972400,1.772477
59.500,0.273276,1.259560,0.973340,1.772514
60.000,0.242048,1.173903,0.973826,1.772540
60.500,0.217016,1.062468,0.973592,1.772551
61.000,0.196911,0.946417,0.972458,1.772540
61.500,0.180921,0.833905,0.970112,1.772497
62.000,0.167719,0.728030,0.966688,1.772426
62.500,0.157100,0.633409,0.961612,1.772311
63.000,0.148993,0.553167,0.953875,1.772121
63.500,0.141339,0.475617,0.945628,1.771916
64.000,0.135742,0.415268,0.932565,1.771571
64.500,0.130784,0.360591,0.916227,1.771128
65.000,0.126587,0.312678,0.895966,1.770565
65.500,0.136864,0.274685,0.864239,1.769680
