time_ns,mem0,mem1,mem2,mem3
0.000,0.094442,0.094442,0.094442,0.094442
0.500,0.094442,0.094442,0.094442,0.094442
1.000,0.094442,0.094442,0.094442,0.094442
1.500,0.094442,0.094442,0.094442,0.094442
2.000,0.094442,0.094442,0.094442,0.094442
2.500,0.094442,0.094442,0.094442,0.094442
3.000,0.094442,0.094442,0.094442,0.094442
3.500,0.094442,0.094442,0.094442,0.094442
4.000,0.094442,0.094442,0.094442,0.094442
4.500,0.094442,0.094442,0.094442,0.094442
5.000,0.094442,0.094442,0.094442,0.094442
5.500,0.150424,0.094442,0.094442,0.094442
6.000,0.256071,0.094442,0.094442,0.094442
6.500,0.363199,0.094442,0.094442,0.094442
7.000,0.463875,0.094442,0.094442,0.094442
7.500,0.545639,0.150132,0.094442,0.094442
8.000,0.594380,0.255880,0.094442,0.094442
8.500,0.621981,0.363200,0.094442,0.094442
9.000,0.636015,0.463688,0.094442,0.094442
9.500,0.641298,0.545429,0.150139,0.094442
10.000,0.641351,0.594238,0.255857,0.094442
10.500,0.638252,0.621901,0.363221,0.094442
11.000,0.633191,0.635855,0.463666,0.094442
11.500,0.626953,0.641143,0.545412,0.150138
12.000,0.620057,0.641198,0.594218,0.255858
12.500,0.612807,0.638102,0.621877,0.363219
13.000,0.605377,0.633012,0.635585,0.463370
13.500,0.597885,0.626814,0.641137,0.545117
14.000,0.590401,0.619902,0.641018,0.592727
14.500,0.582962,0.612668,0.638013,0.620938
15.000,0.575592,0.605250,0.632997,0.635137
15.500,0.568307,0.597766,0.626795,0.640622
16.000,0.561113,0.590288,0.619926,0.640826
16.500,0.554001,0.582847,0.612713,0.638026
17.000,0.546989,0.575477,0.605276,0.632884
17.500,0.540087,0.568210,0.597796,0.626604
18.000,0.533232,0.560987,0.590297,0.619820
18.500,0.526528,0.553922,0.582888,0.612508
19.000,0.519859,0.546895,0.575500,0.605071
19.500,0.513293,0.539980,0.568220,0.597613
20.000,0.506847,0.533198,0.561069,0.590130
20.500,0.500402,0.526417,0.553917,0.582647
21.000,0.494065,0.519755,0.546896,0.575278
21.500,0.487896,0.513280,0.540079,0.568087
22.000,0.481728,0.506806,0.533262,0.560896
22.500,0.475559,0.500331,0.526445,0.553704
23.000,0.469439,0.493909,0.519687,0.546578
23.500,0.463562,0.487756,0.513228,0.539779
24.000,0.457685,0.481603,0.506769,0.532981
