time_ns,spike0,spike1,spike2,spike3
0.000,0.010524,0.010524,0.010524,0.010524
0.500,0.010524,0.010524,0.010524,0.010524
1.000,0.010524,0.010524,0.010524,0.010524
1.500,0.010524,0.010524,0.010524,0.010524
2.000,0.010524,0.010524,0.010524,0.010524
2.500,0.010524,0.010524,0.010524,0.010524
3.000,0.010524,0.010524,0.010524,0.010524
3.500,0.010524,0.010524,0.010524,0.010524
4.000,0.010524,0.010524,0.010524,0.010524
4.500,0.010524,0.010524,0.010524,0.010524
5.000,0.010524,0.010524,0.010524,0.010524
5.500,0.012048,0.010524,0.010524,0.010524
6.000,0.016599,0.010524,0.010524,0.010524
6.500,0.024945,0.010524,0.010524,0.010524
7.000,0.038654,0.010524,0.010524,0.010524
7.500,0.059312,0.012035,0.010524,0.010524
8.000,0.079532,0.016589,0.010524,0.010524
8.500,0.095460,0.024766,0.010524,0.010524
9.000,0.105423,0.038619,0.010524,0.010524
9.500,0.109632,0.059251,0.012036,0.010524
10.000,0.109726,0.079451,0.016582,0.010524
10.500,0.107304,0.095388,0.024730,0.010524
11.000,0.103484,0.105302,0.038615,0.010524
11.500,0.099038,0.109507,0.059245,0.012036
12.000,0.094441,0.109603,0.079442,0.016582
12.500,0.089930,0.107187,0.095374,0.024733
13.000,0.085632,0.103361,0.105123,0.038938
13.500,0.081576,0.098944,0.109502,0.059205
14.000,0.077818,0.094365,0.109458,0.079180
14.500,0.074303,0.089873,0.107126,0.095024
15.000,0.071041,0.085584,0.103364,0.104847
15.500,0.068014,0.081552,0.098972,0.109074
16.000,0.065200,0.077792,0.094420,0.109272
16.500,0.062558,0.074264,0.089920,0.107112
17.000,0.060109,0.071009,0.085622,0.103253
17.500,0.057844,0.068019,0.081636,0.098889
18.000,0.055661,0.065146,0.077787,0.094304
18.500,0.053700,0.062594,0.074381,0.089919
19.000,0.051792,0.060118,0.071081,0.085583
19.500,0.050013,0.057827,0.068048,0.081569
20.000,0.048390,0.055756,0.065334,0.077940
20.500,0.046767,0.053686,0.062620,0.074312
21.000,0.045260,0.051776,0.060136,0.071012
21.500,0.043933,0.050118,0.058013,0.068225
22.000,0.042607,0.048459,0.055890,0.065438
22.500,0.041281,0.046800,0.053767,0.062652
23.000,0.039997,0.045199,0.051724,0.059980
23.500,0.038929,0.043888,0.050084,0.057888
24.000,0.037861,0.042577,0.048445,0.055797
24.500,0.036793,0.041267,0.046806,0.053705
25.000,0.035725,0.039956,0.045167,0.051614
25.500,0.042197,0.038814,0.043757,0.049843
26.000,0.063449,0.037727,0.042421,0.048174
26.500,0.105325,0.036693,0.041154,0.046598
27.000,0.196856,0.035707,0.039952,0.045110
27.500,0.434721,0.042065,0.038809,0.043703
28.000,0.620869,0.063443,0.037724,0.042370
28.500,0.590138,0.106245,0.036690,0.041107
29.000,0.503025,0.196185,0.035704,0.039905
29.500,0.421758,0.432625,0.042050,0.038765
30.000,0.352213,0.618192,0.063521,0.037682
30.500,0.299704,0.589173,0.106435,0.036650
31.000,0.260079,0.502627,0.196279,0.035666
31.500,0.229514,0.421527,0.432902,0.042011
32.000,0.205071,0.352024,0.618606,0.063437
32.500,0.185070,0.299573,0.589324,0.106270
33.000,0.168358,0.260184,0.503305,0.199288
33.500,0.154286,0.229564,0.421822,0.429078
34.000,0.142261,0.205028,0.352118,0.617387
34.500,0.131853,0.184919,0.299202,0.591118
35.000,0.122797,0.168263,0.260013,0.503295
35.500,0.114965,0.154522,0.230343,0.423021
36.000,0.107827,0.142353,0.205357,0.353672
36.500,0.101453,0.131850,0.184952,0.298625
37.000,0.095901,0.123044,0.168898,0.261875
37.500,0.090797,0.115107,0.154860,0.231034
38.000,0.086119,0.107995,0.142729,0.205791
38.500,0.081834,0.101604,0.132155,0.185261
39.000,0.077883,0.095822,0.122891,0.168702
39.500,0.074469,0.090960,0.115407,0.155514
40.000,0.071198,0.086346,0.108399,0.143227
40.500,0.067928,0.081731,0.101390,0.130941
41.000,0.065232,0.078050,0.096084,0.123009
41.500,0.062585,0.074449,0.090925,0.115452
