time_ns,syn_post,mem,spike
0.000,0.105677,0.094442,0.010524
0.500,0.105677,0.094442,0.010524
1.000,0.105677,0.094442,0.010524
1.500,0.105677,0.094442,0.010524
2.000,0.105677,0.094442,0.010524
2.500,0.105677,0.094442,0.010524
3.000,0.105677,0.094442,0.010524
3.500,0.105677,0.094442,0.010524
4.000,0.105677,0.094442,0.010524
4.500,0.105677,0.094442,0.010524
5.000,0.105677,0.094442,0.010524
5.500,0.938598,0.150450,0.012043
6.000,1.148673,0.256104,0.016593
6.500,1.217937,0.363230,0.024927
7.000,1.255214,0.463701,0.038852
7.500,1.076816,0.545567,0.059234
8.000,0.919243,0.592893,0.079190
8.500,0.812603,0.620916,0.094987
9.000,0.742334,0.635154,0.104838
9.500,0.695113,0.640722,0.109142
10.000,0.662106,0.641036,0.109447
10.500,0.637537,0.638305,0.107321
11.000,0.620737,0.632919,0.103310
11.500,0.606495,0.626767,0.099000
12.000,0.594747,0.619869,0.094397
12.500,0.584581,0.612641,0.089981
13.000,0.575569,0.605173,0.085700
13.500,0.566781,0.597705,0.081538
14.000,0.559150,0.590240,0.077994
14.500,0.551519,0.582774,0.074450
15.000,0.543889,0.575309,0.070906
15.500,0.537004,0.568159,0.068206
16.000,0.530122,0.561011,0.065508
16.500,0.523240,0.553863,0.062811
17.000,0.516358,0.546715,0.060114
17.500,0.509825,0.539867,0.057906
18.000,0.503524,0.533217,0.056023
18.500,0.497223,0.526568,0.054139
19.000,0.490922,0.519918,0.052256
19.500,0.484621,0.513268,0.050373
20.000,0.478320,0.506619,0.048490
20.500,0.472018,0.499969,0.046607
21.000,0.466305,0.493907,0.045373
21.500,0.460605,0.487858,0.044155
22.000,0.454905,0.481810,0.042937
22.500,0.449206,0.475761,0.041719
23.000,0.443506,0.469712,0.040501
23.500,0.437806,0.463664,0.039282
24.000,0.432106,0.457615,0.038064
24.500,0.426406,0.451567,0.036846
25.000,0.420707,0.445518,0.035628
25.500,1.047571,0.480870,0.042065
26.000,1.226859,0.557401,0.063607
26.500,1.289840,0.636556,0.107014
27.000,1.322616,0.710222,0.199879
27.500,1.176664,0.763954,0.430136
28.000,1.039197,0.781026,0.619406
28.500,0.943145,0.778343,0.590532
29.000,0.873591,0.770549,0.502546
29.500,0.822398,0.761461,0.422101
30.000,0.782919,0.751952,0.352493
30.500,0.752451,0.742241,0.299352
31.000,0.729176,0.732336,0.261913
31.500,0.708977,0.722386,0.230367
32.000,0.691867,0.712408,0.204767
32.500,0.678086,0.702580,0.185851
33.000,0.664905,0.692834,0.168291
33.500,0.653710,0.683363,0.155215
34.000,0.642516,0.673891,0.142139
34.500,0.632826,0.664869,0.132637
35.000,0.623385,0.655922,0.123722
35.500,0.613943,0.646974,0.114807
36.000,0.605355,0.638475,0.108096
36.500,0.597063,0.630132,0.102147
37.000,0.588770,0.621789,0.096197
37.500,0.580516,0.613474,0.090341
38.000,0.573053,0.605755,0.086414
38.500,0.565590,0.598035,0.082487
39.000,0.558127,0.590315,0.078561
39.500,0.550664,0.582596,0.074634
40.000,0.543249,0.574919,0.070798
40.500,0.536442,0.567784,0.068126
41.000,0.529636,0.560649,0.065454
41.500,0.522830,0.553514,0.062782
42.000,0.516024,0.546378,0.060110
42.500,0.509236,0.539261,0.057467
43.000,0.502928,0.532603,0.055604
43.500,0.496620,0.525946,0.053740
44.000,0.490311,0.519288,0.051876
44.500,0.484003,0.512631,0.050013
45.000,0.477695,0.505973,0.048149
45.500,1.064089,0.537896,0.056803
46.000,1.241791,0.609039,0.087141
46.500,1.303426,0.683037,0.152281
47.000,1.334407,0.749457,0.339740
47.500,1.191296,0.788824,0.724846
48.000,1.053854,0.790231,0.772904
48.500,0.955547,0.782016,0.645130
49.000,0.882770,0.772862,0.526697
49.500,0.829281,0.763401,0.437586
50.000,0.789124,0.753735,0.365520
50.500,0.756800,0.743981,0.307190
51.000,0.732050,0.734089,0.266235
51.500,0.712579,0.724112,0.236093
52.000,0.694615,0.714141,0.208928
52.500,0.680125,0.704246,0.188406
53.000,0.667334,0.694544,0.171711
53.500,0.655490,0.684950,0.157148
54.000,0.644485,0.675561,0.144516
54.500,0.634603,0.666447,0.134464
55.000,0.624721,0.657333,0.124413
55.500,0.615611,0.648569,0.116383
56.000,0.607005,0.640032,0.109671
56.500,0.598399,0.631496,0.102959
57.000,0.589927,0.623052,0.096573
57.500,0.582229,0.615143,0.092056
58.000,0.574531,0.607234,0.087538
58.500,0.566833,0.599324,0.083021
59.000,0.559135,0.591415,0.078504
59.500,0.551802,0.583818,0.074791
60.000,0.544844,0.576541,0.071908
60.500,0.537885,0.569265,0.069024
61.000,0.530927,0.561989,0.066140
61.500,0.523969,0.554713,0.063257
62.000,0.517011,0.547436,0.060373
62.500,0.510550,0.540633,0.058233
63.000,0.504188,0.533922,0.056238
63.500,0.497826,0.527212,0.054243
64.000,0.491464,0.520501,0.052248
64.500,0.485102,0.513791,0.050253
65.000,0.478739,0.507080,0.048259
65.500,1.064685,0.538946,0.057129
66.000,1.242537,0.609995,0.087567
66.500,1.304006,0.683962,0.152653
67.000,1.334564,0.750037,0.345756
67.500,1.191607,0.789106,0.729611
68.000,1.054147,0.790318,0.774523
68.500,0.955695,0.782059,0.645799
69.000,0.883183,0.772887,0.527397
69.500,0.829370,0.763430,0.437789
70.000,0.789167,0.753770,0.365106
70.500,0.757042,0.744035,0.307331
71.000,0.732335,0.734150,0.266766
71.500,0.711967,0.724179,0.234392
72.000,0.695389,0.714232,0.210015
72.500,0.680177,0.704336,0.188412
73.000,0.667212,0.694582,0.171024
73.500,0.655711,0.685078,0.157276
74.000,0.644747,0.675665,0.144859
74.500,0.634432,0.666447,0.133860
75.000,0.624938,0.657476,0.124652
75.500,0.615604,0.648585,0.115905
76.000,0.607091,0.640112,0.109526
76.500,0.598578,0.631638,0.103147
77.000,0.590064,0.623165,0.096768
77.500,0.582227,0.615154,0.091863
78.000,0.574482,0.607208,0.087163
78.500,0.566738,0.599261,0.082463
79.000,0.559234,0.591517,0.078366
79.500,0.552110,0.584093,0.075218
80.000,0.544986,0.576669,0.072069
80.500,0.537861,0.569245,0.068921
81.000,0.530737,0.561821,0.065772
81.500,0.523916,0.554676,0.063045
82.000,0.517291,0.547713,0.060589
82.500,0.510667,0.540749,0.058134
83.000,0.504043,0.533785,0.055679
83.500,0.497705,0.527099,0.053804
84.000,0.491437,0.520482,0.052071
84.500,0.485169,0.513864,0.050338
85.000,0.478901,0.507247,0.048605
85.500,1.065955,0.538766,0.057044
86.000,1.241158,0.609917,0.088007
86.500,1.302896,0.683578,0.156509
87.000,1.334563,0.750291,0.341457
87.500,1.191585,0.789086,0.729721
88.000,1.054441,0.790259,0.773540
88.500,0.955647,0.782064,0.645989
89.000,0.883738,0.772873,0.528298
89.500,0.830049,0.763411,0.438553
90.000,0.788773,0.753760,0.364545
90.500,0.758256,0.743978,0.310444
91.000,0.732238,0.734111,0.266664
91.500,0.711836,0.724133,0.234718
92.000,0.695103,0.714159,0.209678
92.500,0.680214,0.704276,0.188540
93.000,0.666903,0.694484,0.170754
93.500,0.655744,0.685026,0.157680
94.000,0.644585,0.675569,0.144606
94.500,0.634330,0.666369,0.133724
95.000,0.624804,0.657376,0.124608
95.500,0.615532,0.648513,0.116146
96.000,0.607033,0.640047,0.109673
96.500,0.598534,0.631581,0.103201
97.000,0.590035,0.623115,0.096729
97.500,0.582086,0.615029,0.091624
98.000,0.574395,0.607123,0.087164
98.500,0.566705,0.599217,0.082704
99.000,0.559021,0.591316,0.078258
99.500,0.551971,0.583958,0.075172
100.000,0.544921,0.576601,0.072087
100.500,0.537871,0.569243,0.069001
101.000,0.530821,0.561886,0.065915
101.500,0.523771,0.554528,0.062829
102.000,0.517112,0.547534,0.060404
102.500,0.510552,0.540631,0.058145
103.000,0.503992,0.533728,0.055886
103.500,0.497556,0.526946,0.053809
104.000,0.491308,0.520348,0.052006
104.500,0.485060,0.513750,0.050203
105.000,0.478812,0.507152,0.048400
105.500,1.066176,0.538644,0.056997
106.000,1.241195,0.609820,0.087936
