run_id,density,seed,active_products,digital_pass,neuro_pass,digital_energy_pj,neuro_energy_pj,ratio_neuro_over_digital,digital_latency_ns,neuro_latency_ns,digital_energy_per_active_pj,neuro_energy_per_active_pj,point_dir,metadata_json,digital_result,neuro_result
20260204_135024,0.10,1,3,PASS,PASS,0.047077920,5.726582000,121.640505783,0.142000000,2.224000000,0.015692640,1.908860667,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.10_s_1,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.10_s_1/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.10_s_1/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.10_s_1/matmul4x4_binary_neuro_test.txt
20260204_135024,0.10,2,1,PASS,PASS,0.016486290,1.908894000,115.786753721,0.160000000,2.224000000,0.016486290,1.908894000,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.10_s_2,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.10_s_2/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.10_s_2/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.10_s_2/matmul4x4_binary_neuro_test.txt
20260204_135024,0.10,3,2,PASS,PASS,0.044385440,3.813033000,85.907293022,0.190000000,2.231000000,0.022192720,1.906516500,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.10_s_3,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.10_s_3/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.10_s_3/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.10_s_3/matmul4x4_binary_neuro_test.txt
20260204_135024,0.10,4,0,PASS,PASS,0.000456887,0.000050043,0.109529983,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.10_s_4,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.10_s_4/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.10_s_4/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.10_s_4/matmul4x4_binary_neuro_test.txt
20260204_135024,0.08,1,2,PASS,PASS,0.032311740,3.817738000,118.153278035,0.142000000,2.224000000,0.016155870,1.908869000,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.08_s_1,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.08_s_1/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.08_s_1/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.08_s_1/matmul4x4_binary_neuro_test.txt
20260204_135024,0.08,2,0,PASS,PASS,0.000508944,0.000050043,0.098326889,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.08_s_2,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.08_s_2/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.08_s_2/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.08_s_2/matmul4x4_binary_neuro_test.txt
20260204_135024,0.08,3,2,PASS,PASS,0.044385440,3.813033000,85.907293022,0.190000000,2.231000000,0.022192720,1.906516500,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.08_s_3,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.08_s_3/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.08_s_3/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.08_s_3/matmul4x4_binary_neuro_test.txt
20260204_135024,0.08,4,0,PASS,PASS,0.000340579,0.000050043,0.146934893,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.08_s_4,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.08_s_4/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.08_s_4/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.08_s_4/matmul4x4_binary_neuro_test.txt
20260204_135024,0.06,1,2,PASS,PASS,0.032311740,3.817738000,118.153278035,0.142000000,2.224000000,0.016155870,1.908869000,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.06_s_1,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.06_s_1/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.06_s_1/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.06_s_1/matmul4x4_binary_neuro_test.txt
20260204_135024,0.06,2,0,PASS,PASS,0.000508944,0.000050043,0.098326889,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.06_s_2,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.06_s_2/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.06_s_2/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_135024/p_0.06_s_2/matmul4x4_binary_neuro_test.txt
