run_id,point_id,r_fb,rleak,pass,tran_maxstep,membrane_maxima,spike_counts,spike_maxima,first_spike_times_ns,raw_dir,result_file,spectre_log,ocean_log
20260202_215026,rfb_600_rleak_5M,600,5M,PASS,100p,"0.647, 1.011, 1.242, 0.756","spike0=15 spike1=15 spike2=15 spike3=15","1.047, 1.269, 0.814, 1.798","9.925, 12.567, 13.417, 13.795","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_5M/neuro_tile4_coupled.raw","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_5M/neuro_tile4_coupled_test.txt","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_5M/spectre.log","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_5M/ocean.log"
20260202_215026,rfb_600_rleak_6M,600,6M,PASS,100p,"0.647, 1.011, 1.242, 0.757","spike0=15 spike1=15 spike2=15 spike3=15","1.047, 1.269, 0.814, 1.798","9.926, 12.568, 13.416, 13.793","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_6M/neuro_tile4_coupled.raw","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_6M/neuro_tile4_coupled_test.txt","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_6M/spectre.log","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_6M/ocean.log"
20260202_215026,rfb_600_rleak_7M,600,7M,PASS,100p,"0.647, 1.012, 1.243, 0.757","spike0=15 spike1=15 spike2=15 spike3=15","1.047, 1.269, 0.814, 1.798","9.926, 12.568, 13.416, 13.791","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_7M/neuro_tile4_coupled.raw","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_7M/neuro_tile4_coupled_test.txt","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_7M/spectre.log","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_7M/ocean.log"
20260202_215026,rfb_600_rleak_8M,600,8M,PASS,100p,"0.647, 1.012, 1.243, 0.757","spike0=15 spike1=15 spike2=15 spike3=15","1.047, 1.270, 0.814, 1.798","9.926, 12.568, 13.416, 13.791","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_8M/neuro_tile4_coupled.raw","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_8M/neuro_tile4_coupled_test.txt","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_8M/spectre.log","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_8M/ocean.log"
20260202_215026,rfb_600_rleak_9M,600,9M,PASS,100p,"0.647, 1.012, 1.243, 0.757","spike0=15 spike1=15 spike2=15 spike3=15","1.047, 1.270, 0.815, 1.798","9.926, 12.569, 13.416, 13.790","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_9M/neuro_tile4_coupled.raw","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_9M/neuro_tile4_coupled_test.txt","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_9M/spectre.log","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_9M/ocean.log"
20260202_215026,rfb_600_rleak_10M,600,10M,PASS,100p,"0.647, 1.012, 1.243, 0.757","spike0=15 spike1=15 spike2=15 spike3=15","1.047, 1.270, 0.815, 1.798","9.926, 12.569, 13.416, 13.790","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_10M/neuro_tile4_coupled.raw","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_10M/neuro_tile4_coupled_test.txt","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_10M/spectre.log","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_10M/ocean.log"
20260202_215026,rfb_600_rleak_12M,600,12M,PASS,100p,"0.647, 1.012, 1.244, 0.757","spike0=15 spike1=15 spike2=15 spike3=15","1.048, 1.270, 0.815, 1.798","9.927, 12.569, 13.416, 13.789","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_12M/neuro_tile4_coupled.raw","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_12M/neuro_tile4_coupled_test.txt","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_12M/spectre.log","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_600_rleak_12M/ocean.log"
20260202_215026,rfb_700_rleak_5M,700,5M,PASS,100p,"0.645, 1.006, 1.235, 0.756","spike0=15 spike1=15 spike2=15 spike3=15","1.048, 1.267, 0.823, 1.798","9.862, 12.489, 13.368, 13.770","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_700_rleak_5M/neuro_tile4_coupled.raw","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_700_rleak_5M/neuro_tile4_coupled_test.txt","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_700_rleak_5M/spectre.log","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_700_rleak_5M/ocean.log"
20260202_215026,rfb_700_rleak_6M,700,6M,PASS,100p,"0.645, 1.007, 1.236, 0.756","spike0=15 spike1=15 spike2=15 spike3=15","1.048, 1.267, 0.823, 1.798","9.863, 12.490, 13.368, 13.769","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_700_rleak_6M/neuro_tile4_coupled.raw","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_700_rleak_6M/neuro_tile4_coupled_test.txt","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_700_rleak_6M/spectre.log","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_700_rleak_6M/ocean.log"
20260202_215026,rfb_700_rleak_7M,700,7M,PASS,100p,"0.646, 1.007, 1.236, 0.757","spike0=15 spike1=15 spike2=15 spike3=15","1.048, 1.268, 0.823, 1.798","9.863, 12.490, 13.368, 13.768","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_700_rleak_7M/neuro_tile4_coupled.raw","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_700_rleak_7M/neuro_tile4_coupled_test.txt","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_700_rleak_7M/spectre.log","/home/v71349/analog-gradients/results/neuro_tile4_coupled/sweeps/20260202_215026/rfb_700_rleak_7M/ocean.log"
