vec_id,status,energy_pj,l_inf_error,in0,in1,in2,in3,out0,out1,out2,out3,target0,target1,target2,target3
0,SPECTRE_FAIL,,,-0.352334470,-0.698301652,0.301868946,-0.855127427,,,,,0.236072640,0.167029822,0.454111595,0.142785942
1,SPECTRE_FAIL,,,0.071764009,-0.268622166,-0.884002150,0.014871466,,,,,0.328870720,0.233990040,0.126456524,0.310682715
2,SPECTRE_FAIL,,,-0.925008683,-0.132708633,-0.860289153,-0.818573973,,,,,0.185610190,0.409914570,0.198020043,0.206455198
3,SPECTRE_FAIL,,,-0.150961622,0.653704249,-0.752396078,-0.553522071,,,,,0.224588882,0.502169349,0.123080312,0.150161456
4,SPECTRE_FAIL,,,0.254866445,0.895417885,0.154205897,-0.206639051,,,,,0.225626635,0.428132623,0.204020612,0.142220131
5,SPECTRE_FAIL,,,0.952510211,-0.906834639,0.716936918,-0.420781427,,,,,0.454718183,0.070833567,0.359280908,0.115167341
6,SPECTRE_FAIL,,,-0.711489833,-0.764415524,-0.383036352,0.632252718,,,,,0.139457714,0.132268737,0.193681472,0.534592077
7,SPECTRE_FAIL,,,-0.638547240,0.163200327,0.277826938,-0.255204915,,,,,0.138950212,0.309780272,0.347404517,0.203864999
8,SPECTRE_FAIL,,,0.095488931,-0.874422050,-0.880797660,-0.588082574,,,,,0.442353588,0.167703670,0.166637858,0.223304884
9,SPECTRE_FAIL,,,0.360799946,-0.144815389,-0.371705659,0.171123727,,,,,0.343516975,0.207186881,0.165129650,0.284166493
10,SPECTRE_FAIL,,,-0.093631247,-0.400466006,0.588758963,0.397988867,,,,,0.186939074,0.137544568,0.369877906,0.305638451
11,SPECTRE_FAIL,,,-0.511806979,0.148847421,0.050393008,0.750274991,,,,,0.121604853,0.235434155,0.213359143,0.429601849
12,SPECTRE_FAIL,,,0.458890579,-0.424124470,0.960349695,-0.763868443,,,,,0.297700592,0.123109377,0.491541992,0.087648039
13,SPECTRE_FAIL,,,-0.163754356,0.514281859,-0.696030931,-0.022073799,,,,,0.212337655,0.418306299,0.124698790,0.244657256
14,SPECTRE_FAIL,,,-0.921585486,0.336431713,0.529141732,0.146051881,,,,,0.085520128,0.300897285,0.364847325,0.248735262
15,SPECTRE_FAIL,,,0.750955624,-0.372504974,0.390590733,0.188739754,,,,,0.385725211,0.125419564,0.269013170,0.219842055
16,SPECTRE_FAIL,,,0.159790409,-0.087589337,0.679935561,0.889362190,,,,,0.180593164,0.141015110,0.303806791,0.374584935
17,SPECTRE_FAIL,,,-0.051803325,0.328304411,-0.878661145,0.402984043,,,,,0.223428638,0.326751455,0.097732509,0.352087399
18,SPECTRE_FAIL,,,0.294257709,0.986191879,0.643849573,-0.430808936,,,,,0.204066797,0.407638823,0.289466403,0.098827977
19,SPECTRE_FAIL,,,-0.228417115,0.337305432,-0.954874144,-0.076609427,,,,,0.226846086,0.399412333,0.109707170,0.264034411
20,SPECTRE_FAIL,,,-0.663903242,-0.765808411,-0.882091161,0.536465977,,,,,0.165880599,0.149809289,0.133363746,0.550946366
21,SPECTRE_FAIL,,,-0.741319556,-0.504770333,-0.218100594,0.742843948,,,,,0.119537230,0.151438121,0.201713190,0.527311459
22,SPECTRE_FAIL,,,-0.838837398,-0.101625198,0.098879818,0.766767653,,,,,0.094116609,0.196713181,0.240387391,0.468782818
23,SPECTRE_FAIL,,,0.638559676,0.727968939,-0.443157871,-0.169406966,,,,,0.347426769,0.379920937,0.117782106,0.154870187
24,SPECTRE_FAIL,,,-0.282457669,0.768385654,0.915462408,-0.698158188,,,,,0.127662425,0.365122458,0.422973509,0.084241608
25,SPECTRE_FAIL,,,-0.647564543,-0.536086266,-0.533327833,-0.030074539,,,,,0.196339644,0.219493872,0.220100167,0.364066317
26,SPECTRE_FAIL,,,0.178247007,-0.474506761,-0.991812793,-0.162106998,,,,,0.393317235,0.204764949,0.122065367,0.279852449
27,SPECTRE_FAIL,,,-0.261492854,0.132682447,0.906195851,0.380987314,,,,,0.131597906,0.195180820,0.423028610,0.250192664
28,SPECTRE_FAIL,,,0.030982866,0.235185499,0.352400165,-0.892014214,,,,,0.249815508,0.306410379,0.344515808,0.099258305
29,SPECTRE_FAIL,,,0.799066020,0.559938981,0.749026368,0.595746242,,,,,0.281331636,0.221496576,0.267600319,0.229571469
30,SPECTRE_FAIL,,,-0.215242186,-0.202042335,-0.792925813,0.268579131,,,,,0.238279854,0.241445962,0.133721892,0.386552292
31,SPECTRE_FAIL,,,-0.875504357,-0.865304768,-0.582473629,-0.675393624,,,,,0.218709563,0.220951726,0.293176666,0.267162045
32,SPECTRE_FAIL,,,-0.319892696,-0.894848792,-0.999533436,-0.697470135,,,,,0.362969988,0.204253947,0.183952838,0.248823227
33,SPECTRE_FAIL,,,-0.797071264,-0.272780156,-0.948998227,0.748664755,,,,,0.121363122,0.205013980,0.104257114,0.569365784
34,SPECTRE_FAIL,,,0.228137976,-0.702899029,-0.495484487,-0.305220908,,,,,0.405553125,0.159846642,0.196690104,0.237910129
35,SPECTRE_FAIL,,,-0.271673121,-0.754315538,0.697873853,0.986205443,,,,,0.128669483,0.079408432,0.339269218,0.452652868
36,SPECTRE_FAIL,,,-0.068021082,-0.032330687,-0.828230677,-0.795624767,,,,,0.334787590,0.346952078,0.156536104,0.161724228
37,SPECTRE_FAIL,,,-0.314728324,-0.470486217,0.657710756,-0.677122779,,,,,0.192449787,0.164692052,0.508911613,0.133946547
