vec_id,status,energy_pj,l_inf_error,in0,in1,in2,in3,out0,raw0,out1,raw1,out2,raw2,out3,raw3,target0,target1,target2,target3
0,ACCURACY_FAIL,8.982000,0.210602982,-0.352334470,-0.698301652,0.301868946,-0.855127427,0.179639292,0.179639292,0.089928647,0.089928647,0.664714577,0.664714577,0.065717483,0.065717483,0.236072640,0.167029822,0.454111595,0.142785942
1,ACCURACY_FAIL,8.982000,0.068395673,0.071764009,-0.268622166,-0.884002150,0.014871466,0.392691347,0.392691347,0.198790514,0.198790514,0.058060851,0.058060851,0.350457289,0.350457289,0.328870720,0.233990040,0.126456524,0.310682715
2,ACCURACY_FAIL,8.982000,0.181080983,-0.925008683,-0.132708633,-0.860289153,-0.818573973,0.121171681,0.121171681,0.590995553,0.590995553,0.137916365,0.137916365,0.149916401,0.149916401,0.185610190,0.409914570,0.198020043,0.206455198
3,ACCURACY_FAIL,8.982000,0.238840268,-0.150961622,0.653704249,-0.752396078,-0.553522071,0.148217659,0.148217659,0.741009617,0.741009617,0.044514410,0.044514410,0.066258315,0.066258315,0.224588882,0.502169349,0.123080312,0.150161456
4,ACCURACY_FAIL,8.982000,0.190998915,0.254866445,0.895417885,0.154205897,-0.206639051,0.171951915,0.171951915,0.619131538,0.619131538,0.140596456,0.140596456,0.068320091,0.068320091,0.225626635,0.428132623,0.204020612,0.142220131
5,ACCURACY_FAIL,8.982000,0.129155758,0.952510211,-0.906834639,0.716936918,-0.420781427,0.583873941,0.583873941,0.014168135,0.014168135,0.364504362,0.364504362,0.037453562,0.037453562,0.454718183,0.070833567,0.359280908,0.115167341
6,ACCURACY_FAIL,8.982000,0.258726212,-0.711489833,-0.764415524,-0.383036352,0.632252718,0.053986791,0.053986791,0.048564268,0.048564268,0.104130651,0.104130651,0.793318289,0.793318289,0.139457714,0.132268737,0.193681472,0.534592077
7,ACCURACY_FAIL,8.982000,0.087479850,-0.638547240,0.163200327,0.277826938,-0.255204915,0.069569887,0.069569887,0.345788374,0.345788374,0.434884367,0.434884367,0.149757372,0.149757372,0.138950212,0.309780272,0.347404517,0.203864999
8,ACCURACY_FAIL,8.982000,0.206798117,0.095488931,-0.874422050,-0.880797660,-0.588082574,0.649151705,0.649151705,0.093302274,0.093302274,0.092120109,0.092120109,0.165425912,0.165425912,0.442353588,0.167703670,0.166637858,0.223304884
9,ACCURACY_FAIL,8.982000,0.095242932,0.360799946,-0.144815389,-0.371705659,0.171123727,0.438759907,0.438759907,0.159608140,0.159608140,0.101386621,0.101386621,0.300245333,0.300245333,0.343516975,0.207186881,0.165129650,0.284166493
