vec_id,status,energy_pj,l_inf_error,in0,in1,in2,in3,out0,raw0,out1,raw1,out2,raw2,out3,raw3,target0,target1,target2,target3
0,ACCURACY_FAIL,7.881904,0.423409290,-0.352334470,-0.698301652,0.301868946,-0.855127427,0.000000965,1.799999035,0.000000138,1.799999862,0.877520885,0.922479115,0.000000138,1.799999862,0.236072640,0.167029822,0.454111595,0.142785942
1,ACCURACY_FAIL,1.600660,0.263180626,0.071764009,-0.268622166,-0.884002150,0.014871466,0.130661424,1.669338576,0.000044123,1.799955877,0.000000138,1.799999862,0.047502089,1.752497911,0.328870720,0.233990040,0.126456524,0.310682715
2,ACCURACY_FAIL,0.017193,0.408000815,-0.925008683,-0.132708633,-0.860289153,-0.818573973,0.000000139,1.799999861,0.001913755,1.798086245,0.000000139,1.799999861,0.000000139,1.799999861,0.185610190,0.409914570,0.198020043,0.206455198
3,ACCURACY_FAIL,8.981971,0.497827012,-0.150961622,0.653704249,-0.752396078,-0.553522071,0.000000153,1.799999847,0.999996361,0.800003639,0.000000135,1.799999865,0.000000135,1.799999865,0.224588882,0.502169349,0.123080312,0.150161456
4,ACCURACY_FAIL,8.982009,0.571866038,0.254866445,0.895417885,0.154205897,-0.206639051,0.000002012,1.799997988,0.999998661,0.800001339,0.000000236,1.799999764,0.000000133,1.799999867,0.225626635,0.428132623,0.204020612,0.142220131
5,ACCURACY_FAIL,8.982172,0.487362923,0.952510211,-0.906834639,0.716936918,-0.420781427,0.942081106,0.857918894,0.000000133,1.799999867,0.057937801,1.742062199,0.000000133,1.799999867,0.454718183,0.070833567,0.359280908,0.115167341
6,ACCURACY_FAIL,8.981938,0.465400586,-0.711489833,-0.764415524,-0.383036352,0.632252718,0.000000135,1.799999865,0.000000135,1.799999865,0.000000136,1.799999864,0.999992663,0.800007337,0.139457714,0.132268737,0.193681472,0.534592077
7,ACCURACY_FAIL,8.067520,0.354020891,-0.638547240,0.163200327,0.277826938,-0.255204915,0.000000138,1.799999862,0.196751579,1.603248421,0.701425408,1.098574592,0.000010576,1.799989424,0.138950212,0.309780272,0.347404517,0.203864999
8,ACCURACY_FAIL,1.680128,0.255299047,0.095488931,-0.874422050,-0.880797660,-0.588082574,0.187054541,1.612945459,0.000000138,1.799999862,0.000000138,1.799999862,0.000000145,1.799999855,0.442353588,0.167703670,0.166637858,0.223304884
9,ACCURACY_FAIL,8.810657,0.539715791,0.360799946,-0.144815389,-0.371705659,0.171123727,0.883232766,0.916767234,0.000050969,1.799949031,0.000000229,1.799999771,0.097639736,1.702360264,0.343516975,0.207186881,0.165129650,0.284166493
10,ACCURACY_FAIL,8.982742,0.527005098,-0.093631247,-0.400466006,0.588758963,0.397988867,0.000000495,1.799999505,0.000000136,1.799999864,0.896883004,0.903116996,0.103199139,1.696800861,0.186939074,0.137544568,0.369877906,0.305638451
11,ACCURACY_FAIL,8.982008,0.570392628,-0.511806979,0.148847421,0.050393008,0.750274991,0.000000135,1.799999865,0.000005867,1.799994133,0.000000476,1.799999524,0.999994477,0.800005523,0.121604853,0.235434155,0.213359143,0.429601849
