iter,phase,delay_ns,status,loss,timing_loss,count_penalty,order_penalty,energy_penalty,energy_pj,spike0_first_ns,spike1_first_ns,spike2_first_ns,spike3_first_ns,spike0_target_ns,spike1_target_ns,spike2_target_ns,spike3_target_ns,spike0_count,spike1_count,spike2_count,spike3_count,eval_dir
0,iter_00_base,5.000000000,OK,3.007981503,1.000000000,0.000000000,0.000000000,2.007981503,134.806547808,9.676048867,12.257209350,13.215085018,13.726522514,10.676048867,13.257209350,14.215085018,14.726522514,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_151222/iter_00_base/trace_00_5.000ns
0,iter_00_base,8.000000000,OK,2.992018497,1.000000000,0.000000000,0.000000000,1.992018497,133.734865781,12.673473367,15.255290674,16.214586022,16.726692595,13.673473367,16.255290674,17.214586022,17.726692595,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_151222/iter_00_base/trace_01_8.000ns
1,iter_01_base,5.000000000,OK,2.907242193,0.914212069,0.000000000,0.000000000,1.993030124,133.802781708,9.722121048,12.300234568,13.266190515,13.761810908,10.676048867,13.257209350,14.215085018,14.726522514,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_151222/iter_01_base/trace_00_5.000ns
1,iter_01_base,8.000000000,OK,2.893774819,0.916596603,0.000000000,0.000000000,1.977178216,132.738558291,12.721518299,15.296275733,16.263542479,16.759234853,13.673473367,16.255290674,17.214586022,17.726692595,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_151222/iter_01_base/trace_01_8.000ns
2,iter_02_base,5.000000000,OK,2.781463646,0.804787643,0.000000000,0.000000000,1.976676003,132.704841986,9.775349143,12.350221001,13.324732771,13.836277834,10.676048867,13.257209350,14.215085018,14.726522514,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_151222/iter_02_base/trace_00_5.000ns
2,iter_02_base,8.000000000,OK,2.773524906,0.812602463,0.000000000,0.000000000,1.960922443,131.647221192,12.770760536,15.346300765,16.316766291,16.830491460,13.673473367,16.255290674,17.214586022,17.726692595,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_151222/iter_02_base/trace_01_8.000ns
3,iter_03_base,5.000000000,OK,2.659163302,0.699992475,0.000000000,0.000000000,1.959170827,131.529625866,9.835041610,12.405073304,13.387958274,13.900446125,10.676048867,13.257209350,14.215085018,14.726522514,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_151222/iter_03_base/trace_00_5.000ns
3,iter_03_base,8.000000000,OK,2.655544740,0.711836674,0.000000000,0.000000000,1.943708066,130.491527905,12.830323503,15.398964342,16.381347659,16.884751951,13.673473367,16.255290674,17.214586022,17.726692595,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_151222/iter_03_base/trace_01_8.000ns
4,final,5.000000000,OK,2.551243126,0.609316223,0.000000000,0.000000000,1.941926903,130.371948907,9.894232590,12.457296865,13.448347481,13.953035755,10.676048867,13.257209350,14.215085018,14.726522514,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_151222/final/trace_00_5.000ns
4,final,8.000000000,OK,2.535368245,0.608762790,0.000000000,0.000000000,1.926605455,129.343338063,12.890063082,15.457562069,16.448620506,16.953229352,13.673473367,16.255290674,17.214586022,17.726692595,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_151222/final/trace_01_8.000ns
