iter,phase,split,delay_ns,status,loss,timing_loss,count_penalty,order_penalty,energy_penalty,energy_pj,spike0_first_ns,spike1_first_ns,spike2_first_ns,spike3_first_ns,spike0_target_ns,spike1_target_ns,spike2_target_ns,spike3_target_ns,spike0_count,spike1_count,spike2_count,spike3_count,eval_dir
0,iter_00_train_base,train,5.000000000,OK,0.319465089,0.068467401,0.000000000,0.000000000,0.250997688,134.806547808,9.676048867,12.257209350,13.215085018,13.726522514,9.388000000,11.896000000,12.985000000,13.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/iter_00_train_base/trace_00_5.000ns
0,iter_00_train_base,train,8.000000000,OK,0.316704857,0.067702545,0.000000000,0.000000000,0.249002312,133.734865781,12.673473367,15.255290674,16.214586022,16.726692595,12.388000000,14.896000000,15.985000000,16.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/iter_00_train_base/trace_01_8.000ns
0,iter_00_holdout_base,holdout,6.500000000,OK,0.316851678,0.066739910,0.000000000,0.000000000,0.250111769,134.330735751,11.166304922,13.754174793,14.716145571,15.228252768,10.888000000,13.396000000,14.485000000,15.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/iter_00_holdout_base/trace_00_6.500ns
0,iter_00_holdout_base,holdout,9.500000000,OK,0.314891403,0.067256052,0.000000000,0.000000000,0.247635351,133.000694219,14.173501905,16.755263072,17.711854722,18.223545504,13.888000000,16.396000000,17.485000000,18.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/iter_00_holdout_base/trace_01_9.500ns
1,iter_01_train_base,train,5.000000000,OK,0.568579565,0.066577505,0.000000000,0.000000000,0.502002060,134.808342901,9.665697526,12.255599115,13.213892339,13.726549859,9.388000000,11.896000000,12.985000000,13.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/iter_01_train_base/trace_00_5.000ns
1,iter_01_train_base,train,8.000000000,OK,0.565022728,0.067064663,0.000000000,0.000000000,0.497958066,133.722362908,12.672680250,15.253231369,16.213478635,16.726017836,12.388000000,14.896000000,15.985000000,16.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/iter_01_train_base/trace_01_8.000ns
1,iter_01_holdout_base,holdout,6.500000000,OK,0.567676028,0.067419702,0.000000000,0.000000000,0.500256326,134.339540985,11.173900166,13.752793729,14.715047464,15.227842482,10.888000000,13.396000000,14.485000000,15.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/iter_01_holdout_base/trace_00_6.500ns
1,iter_01_holdout_base,holdout,9.500000000,OK,0.562197278,0.066922375,0.000000000,0.000000000,0.495274903,133.001822626,14.174366751,16.753460207,17.710803075,18.223179047,13.888000000,16.396000000,17.485000000,18.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/iter_01_holdout_base/trace_01_9.500ns
2,iter_02_train_base,train,5.000000000,OK,0.819991495,0.066911996,0.000000000,0.000000000,0.753079499,134.822022132,9.671736581,12.253711508,13.212701431,13.725650876,9.388000000,11.896000000,12.985000000,13.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/iter_02_train_base/trace_00_5.000ns
2,iter_02_train_base,train,8.000000000,OK,0.813517346,0.066449259,0.000000000,0.000000000,0.747068087,133.745813381,12.671142856,15.251784779,16.212480226,16.725423043,12.388000000,14.896000000,15.985000000,16.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/iter_02_train_base/trace_01_8.000ns
2,iter_02_holdout_base,holdout,6.500000000,OK,0.817378621,0.067036427,0.000000000,0.000000000,0.750342195,134.331969063,11.173845403,13.751407438,14.714094365,15.227403875,10.888000000,13.396000000,14.485000000,15.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/iter_02_holdout_base/trace_00_6.500ns
2,iter_02_holdout_base,holdout,9.500000000,OK,0.809186036,0.066244910,0.000000000,0.000000000,0.742941126,133.006973469,14.172738397,16.751840192,17.709447570,18.223094709,13.888000000,16.396000000,17.485000000,18.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/iter_02_holdout_base/trace_01_9.500ns
3,iter_03_train_base,train,5.000000000,OK,1.070540486,0.066574221,0.000000000,0.000000000,1.003966265,134.803260041,9.672003359,12.252344778,13.211672810,13.725304235,9.388000000,11.896000000,12.985000000,13.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/iter_03_train_base/trace_00_5.000ns
3,iter_03_train_base,train,8.000000000,OK,1.062035085,0.065985554,0.000000000,0.000000000,0.996049531,133.740274548,12.669524593,15.249942678,16.212818899,16.726655929,12.388000000,14.896000000,15.985000000,16.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/iter_03_train_base/trace_01_8.000ns
3,iter_03_holdout_base,holdout,6.500000000,OK,1.066949129,0.066414205,0.000000000,0.000000000,1.000534924,134.342531417,11.172891496,13.749494291,14.712969882,15.226978004,10.888000000,13.396000000,14.485000000,15.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/iter_03_holdout_base/trace_00_6.500ns
3,iter_03_holdout_base,holdout,9.500000000,OK,1.056172176,0.065573213,0.000000000,0.000000000,0.990598963,133.008422892,14.171019798,16.750166982,17.708501722,18.222494693,13.888000000,16.396000000,17.485000000,18.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/iter_03_holdout_base/trace_01_9.500ns
4,final,train,5.000000000,OK,1.069752290,0.065763346,0.000000000,0.000000000,1.003988943,134.806305015,9.669864436,12.250291475,13.210563107,13.724880274,9.388000000,11.896000000,12.985000000,13.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/final_train/trace_00_5.000ns
4,final,train,8.000000000,OK,1.061242153,0.065198070,0.000000000,0.000000000,0.996044083,133.739543065,12.668489120,15.248217578,16.210443030,16.725066744,12.388000000,14.896000000,15.985000000,16.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/final_train/trace_01_8.000ns
4,final,holdout,6.500000000,OK,1.066168839,0.065609349,0.000000000,0.000000000,1.000559489,134.345829811,11.170257413,13.747769795,14.711946874,15.226725302,10.888000000,13.396000000,14.485000000,15.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_163109/final_holdout/trace_00_6.500ns
